"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M14","Positive","30D","Ipsi",1463,889.82,225.53
"2","M14","Positive","30D","Ipsi",1737,1386,432.18
"3","M14","Positive","30D","Ipsi",450,522.16,319.21
"4","M14","Positive","30D","Ipsi",325,458.34,231.95
"5","M14","Positive","30D","Ipsi",1855,1259,518.87
"6","M14","Positive","30D","Ipsi",1282,1153.8,58.91
"7","M14","Positive","30D","Ipsi",5,182.21,32.71
"8","M14","Positive","30D","Ipsi",1640,1414.7,386.36
"9","M14","Negative","30D","Ipsi",2034,1307.6,620.7
"10","M14","Negative","30D","Ipsi",2042,1197.2,631.73
"11","M14","Negative","30D","Ipsi",956,52.95,542.55
"12","M14","Positive","30D","Ipsi",85,156.24,59.58
"13","M14","Positive","30D","Ipsi",77,749.17,70.05
"14","M14","Positive","30D","Ipsi",1,53.97,22.26
"15","M14","Positive","30D","Ipsi",1383,1202.8,154.36
"16","M14","Positive","30D","Ipsi",405,24.17,281.79
"17","M14","Positive","30D","Ipsi",373,586.92,253.95
"18","M14","Positive","30D","Ipsi",2046,1145.2,627.21
"19","M14","Positive","30D","Ipsi",75,592.14,72.7
"20","M14","Positive","30D","Ipsi",92,805.88,76.4
"21","M14","Positive","30D","Ipsi",1680,1333.6,400.91
"22","M14","Positive","30D","Ipsi",1980,1052.3,589.91
"23","M14","Negative","30D","Ipsi",2080,1097.5,639.17
"24","M14","Positive","30D","Ipsi",16,313.03,27.96
"25","M14","Positive","30D","Ipsi",355,500.95,244.25
"26","M14","Negative","30D","Ipsi",1978,1081.4,589.52
"27","M14","Positive","30D","Ipsi",281,482.84,206.5
"28","M14","Positive","30D","Ipsi",1023,701.58,578.21
"29","M14","Positive","30D","Ipsi",1560,1133.7,309.48
"30","M14","Positive","30D","Ipsi",1829,1252.5,494.09
"31","M14","Positive","30D","Ipsi",1173,208.75,643.87
"32","M14","Positive","30D","Ipsi",741,177.38,453.65
"33","M14","Positive","30D","Ipsi",2030,947.89,614.54
"34","M14","Positive","30D","Ipsi",1479,1371,243.91
"35","M14","Positive","30D","Ipsi",1950,1096.4,560.87
"36","M14","Negative","30D","Ipsi",628,61.99,384.2
"37","M14","Positive","30D","Ipsi",1009,371.14,568.01
"38","M14","Positive","30D","Ipsi",1006,453.48,554.48
"39","M14","Positive","30D","Ipsi",807,598.79,467.7
"40","M14","Positive","30D","Ipsi",1094,15.14,603.99
"41","M14","Positive","30D","Ipsi",1822,1217.1,485.65
"42","M14","Positive","30D","Ipsi",1078,630.41,594.66
"43","M14","Positive","30D","Ipsi",51,254.73,42.52
"44","M14","Positive","30D","Ipsi",1016,683.24,556.05
"45","M14","Positive","30D","Ipsi",1201,746.9,654.38
"46","M14","Positive","30D","Ipsi",68,109.23,45.3
"47","M14","Positive","30D","Ipsi",1793,1319.2,472.11
"48","M14","Positive","30D","Ipsi",34,126.01,21.52
"49","M14","Positive","30D","Ipsi",613,690.84,385.66
"50","M14","Negative","30D","Ipsi",2002,1201.8,592.45
"51","M14","Positive","30D","Ipsi",670,238.01,405.72
"52","M14","Positive","30D","Ipsi",1301,1582.7,69.87
"53","M14","Positive","30D","Ipsi",52,165.73,35.08
"54","M14","Positive","30D","Ipsi",867,665.69,503.84
"55","M14","Positive","30D","Ipsi",79,655.21,57.96
"56","M14","Positive","30D","Ipsi",914,148.6,515.41
"57","M14","Positive","30D","Ipsi",631,457.11,395.91
"58","M14","Positive","30D","Ipsi",1081,291.04,602.95
"59","M14","Positive","30D","Ipsi",2013,1175,601.83
"60","M14","Positive","30D","Ipsi",214,273.01,145.76
"61","M14","Positive","30D","Ipsi",996,506.7,555.03
"62","M14","Positive","30D","Ipsi",1610,1334.2,350.6
"63","M14","Positive","30D","Ipsi",69,704.22,52.63
"64","M14","Positive","30D","Ipsi",1163,705.67,631.23
"65","M14","Positive","30D","Ipsi",1973,1226.5,576.64
"66","M14","Positive","30D","Ipsi",1285,1091.2,50.78
"67","M14","Positive","30D","Ipsi",329,11.25,219.42
"68","M14","Positive","30D","Ipsi",187,611.88,132.25
"69","M14","Positive","30D","Ipsi",675,706.65,409.13
"70","M14","Positive","30D","Ipsi",1711,819.81,419.1
"71","M14","Negative","30D","Ipsi",2077,1002.2,637.81
"72","M14","Positive","30D","Ipsi",122,70.72,86.1
"73","M14","Positive","30D","Ipsi",1453,1334.8,208.39
"74","M14","Positive","30D","Ipsi",1569,833.75,325.73
"75","M14","Positive","30D","Ipsi",67,317.01,51.56
"76","M14","Positive","30D","Ipsi",1256,1099.8,21.2
"77","M14","Positive","30D","Ipsi",120,313.2,94.58
"78","M14","Positive","30D","Ipsi",1627,952.91,362.46
"79","M14","Positive","30D","Ipsi",833,804.24,481.86
"80","M14","Positive","30D","Ipsi",1137,520.91,624.47
"81","M14","Negative","30D","Ipsi",377,74.99,241.59
"82","M14","Positive","30D","Ipsi",789,765.38,460.52
"83","M14","Negative","30D","Ipsi",1892,1420.4,523.34
"84","M14","Positive","30D","Ipsi",608,247.29,373.59
"85","M14","Positive","30D","Ipsi",1790,1102.1,467.97
"86","M14","Positive","30D","Ipsi",998,637.01,553.23
"87","M14","Positive","30D","Ipsi",649,760.26,400.81
"88","M14","Positive","30D","Ipsi",1490,1305.6,248.6
"89","M14","Positive","30D","Ipsi",65,281.9,42.75
"90","M14","Positive","30D","Ipsi",1652,1054.3,378.7
"91","M14","Positive","30D","Ipsi",1377,1103.4,144.91
"92","M14","Negative","30D","Ipsi",660,43.85,396.66
"93","M14","Positive","30D","Ipsi",1486,1288.1,244.72
"94","M14","Positive","30D","Ipsi",699,440.03,418.07
"95","M14","Positive","30D","Ipsi",1779,1147.8,455.04
"96","M14","Positive","30D","Ipsi",295,430.11,192.83
"97","M14","Negative","30D","Ipsi",279,51.73,181.64
"98","M14","Positive","30D","Ipsi",2056,834.84,628.61
"99","M14","Positive","30D","Ipsi",232,410.67,151.56
"100","M14","Positive","30D","Ipsi",1169,609.21,643.48
"101","M14","Negative","30D","Ipsi",1809,1392.3,480.62
"102","M14","Positive","30D","Ipsi",1106,194.02,611.06
"103","M14","Negative","30D","Ipsi",1782,1401.6,462.77
"104","M14","Positive","30D","Ipsi",167,156.01,111.6
"105","M14","Positive","30D","Ipsi",2121,957.81,657.51
"106","M14","Positive","30D","Ipsi",1416,944.25,169.1
"107","M14","Positive","30D","Ipsi",395,89.19,268.53
"108","M14","Positive","30D","Ipsi",198,26.64,134.04
"109","M14","Positive","30D","Ipsi",194,324.11,132.4
"110","M14","Positive","30D","Ipsi",363,766.41,238.32
"111","M14","Positive","30D","Ipsi",103,330.05,71.48
"112","M14","Positive","30D","Ipsi",1731,1309.5,422.77
"113","M14","Positive","30D","Ipsi",1182,792.24,647.72
"114","M14","Positive","30D","Ipsi",456,84.1,299.02
"115","M14","Positive","30D","Ipsi",1806,1017.5,478.64
"116","M14","Positive","30D","Ipsi",345,411.42,224.46
"117","M14","Positive","30D","Ipsi",338,170.83,226.64
"118","M14","Positive","30D","Ipsi",2088,1058.1,644.3
"119","M14","Negative","30D","Ipsi",394,283.81,261.3
"120","M14","Negative","30D","Ipsi",953,80.04,530.11
"121","M14","Positive","30D","Ipsi",1100,338.78,600.74
"122","M14","Positive","30D","Ipsi",178,222.33,123.43
"123","M14","Positive","30D","Ipsi",1755,1149.4,434.53
"124","M14","Positive","30D","Ipsi",1361,1348.2,125.57
"125","M14","Positive","30D","Ipsi",1411,882.53,171.14
"126","M14","Positive","30D","Ipsi",1266,1124.2,24.49
"127","M14","Positive","30D","Ipsi",1563,881.77,316.46
"128","M14","Positive","30D","Ipsi",1532,1078.7,292.31
