"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M23","Negative","15D","Ipsi",1878,1645.6,417.65
"2","M23","Negative","15D","Ipsi",960,909.69,215.63
"3","M23","Negative","15D","Ipsi",1058,1167.4,309.49
"4","M23","Negative","15D","Ipsi",667,114.53,593.62
"5","M23","Negative","15D","Ipsi",204,633.38,180.8
"6","M23","Negative","15D","Ipsi",1735,1986.5,288.48
"7","M23","Negative","15D","Ipsi",1678,1778.3,242.44
"8","M23","Negative","15D","Ipsi",1385,1104,630.71
"9","M23","Negative","15D","Ipsi",120,524.15,106.35
"10","M23","Negative","15D","Ipsi",1852,1913.5,385.26
"11","M23","Negative","15D","Ipsi",1347,1145,602.1
"12","M23","Negative","15D","Ipsi",1610,1751.5,176.31
"13","M23","Negative","15D","Ipsi",30,497.99,34.18
"14","M23","Negative","15D","Ipsi",907,996.13,168.94
"15","M23","Negative","15D","Ipsi",904,1173.7,168.89
"16","M23","Positive","15D","Ipsi",591,418.81,528.49
"17","M23","Negative","15D","Ipsi",1399,1423.2,650.69
"18","M23","Negative","15D","Ipsi",514,513.99,448.27
"19","M23","Negative","15D","Ipsi",2069,1578.3,591.21
"20","M23","Negative","15D","Ipsi",870,1045.7,123.66
"21","M23","Negative","15D","Ipsi",197,547.32,172.76
"22","M23","Negative","15D","Ipsi",1961,1823.4,479.66
"23","M23","Negative","15D","Ipsi",1401,979.29,652.49
"24","M23","Negative","15D","Ipsi",1685,1749.7,246.21
"25","M23","Negative","15D","Ipsi",660,633.09,587.44
"26","M23","Negative","15D","Ipsi",1339,1416.4,585.9
"27","M23","Negative","15D","Ipsi",757,1271.4,24.23
"28","M23","Negative","15D","Ipsi",1802,1534.8,346.26
"29","M23","Negative","15D","Ipsi",1404,832.25,654.8
"30","M23","Negative","15D","Ipsi",1960,1624.4,476.97
"31","M23","Negative","15D","Ipsi",1747,1474.5,300.53
"32","M23","Positive","15D","Ipsi",224,487.28,194.79
"33","M23","Negative","15D","Ipsi",1282,900.73,537.97
"34","M23","Negative","15D","Ipsi",1762,1818.1,308.03
"35","M23","Negative","15D","Ipsi",88,647.8,75.08
"36","M23","Negative","15D","Ipsi",830,1389.4,78.02
"37","M23","Negative","15D","Ipsi",729,558.42,654.32
"38","M23","Negative","15D","Ipsi",759,1387.1,23.8
"39","M23","Negative","15D","Ipsi",728,120.69,653.56
"40","M23","Negative","15D","Ipsi",1341,808.48,585.41
"41","M23","Negative","15D","Ipsi",887,838.35,139.48
"42","M23","Negative","15D","Ipsi",1811,1698.2,352.04
"43","M23","Negative","15D","Ipsi",1710,2137.3,261.73
"44","M23","Negative","15D","Ipsi",1400,1020.9,651
"45","M23","Negative","15D","Ipsi",1159,1063.9,396.96
"46","M23","Negative","15D","Ipsi",968,1410.5,227.14
"47","M23","Negative","15D","Ipsi",1288,755.51,533.74
"48","M23","Negative","15D","Ipsi",617,535.2,540.02
"49","M23","Negative","15D","Ipsi",2122,1464.3,651.72
"50","M23","Negative","15D","Ipsi",1358,778.41,603.2
"51","M23","Negative","15D","Ipsi",2123,2037.7,653.19
"52","M23","Negative","15D","Ipsi",1408,1096.5,653.38
"53","M23","Negative","15D","Ipsi",1828,2124.4,361.88
"54","M23","Negative","15D","Ipsi",1764,1694.7,304.94
"55","M23","Negative","15D","Ipsi",1630,1712.7,194.57
"56","M23","Negative","15D","Ipsi",252,582.49,215.89
"57","M23","Negative","15D","Ipsi",1478,1906.7,57.73
"58","M23","Negative","15D","Ipsi",1502,2078.9,73.62
"59","M23","Negative","15D","Ipsi",1665,1474.1,223.09
"60","M23","Negative","15D","Ipsi",1134,986.06,372.1
"61","M23","Negative","15D","Ipsi",554,505.66,490.47
"62","M23","Negative","15D","Ipsi",53,438.52,42.82
"63","M23","Negative","15D","Ipsi",1337,1171.3,580.71
"64","M23","Negative","15D","Ipsi",89,541.17,73.01
"65","M23","Negative","15D","Ipsi",556,701.81,486.18
"66","M23","Negative","15D","Ipsi",797,1371.2,57.63
"67","M23","Negative","15D","Ipsi",1389,846.78,628.46
"68","M23","Negative","15D","Ipsi",1270,936.47,510.61
"69","M23","Negative","15D","Ipsi",1019,993.34,265.83
"70","M23","Negative","15D","Ipsi",893,1423.5,147.33
"71","M23","Negative","15D","Ipsi",1738,1945.4,285.12
"72","M23","Negative","15D","Ipsi",1369,1342.6,610.74
"73","M23","Negative","15D","Ipsi",709,562.19,629.23
"74","M23","Negative","15D","Ipsi",1700,2062.9,249.13
"75","M23","Negative","15D","Ipsi",1142,794.8,376.25
"76","M23","Negative","15D","Ipsi",1866,2025,393.59
"77","M23","Negative","15D","Ipsi",1910,1698.3,433.37
"78","M23","Negative","15D","Ipsi",134,590.24,108.59
"79","M23","Negative","15D","Ipsi",965,1087.9,224.24
"80","M23","Negative","15D","Ipsi",2060,2104,581.11
"81","M23","Positive","15D","Ipsi",717,52.8,638.12
"82","M23","Negative","15D","Ipsi",1750,1618.8,295.12
"83","M23","Negative","15D","Ipsi",1650,1827.1,208.28
"84","M23","Negative","15D","Ipsi",363,716.57,310.55
"85","M23","Negative","15D","Ipsi",2098,2022.3,619.63
"86","M23","Negative","15D","Ipsi",2039,1488.3,555.61
"87","M23","Negative","15D","Ipsi",897,738.62,158
"88","M23","Negative","15D","Ipsi",1269,1157.2,512.95
"89","M23","Negative","15D","Ipsi",1172,797.25,401.56
"90","M23","Negative","15D","Ipsi",1470,1962.2,46.76
"91","M23","Negative","15D","Ipsi",877,947.84,125.56
"92","M23","Positive","15D","Ipsi",383,263.6,325.75
"93","M23","Negative","15D","Ipsi",863,722.65,118.34
"94","M23","Positive","15D","Ipsi",499,213.68,435.34
"95","M23","Negative","15D","Ipsi",977,756.38,236.46
"96","M23","Negative","15D","Ipsi",727,76.52,655.39
"97","M23","Negative","15D","Ipsi",485,84.45,419.67
"98","M23","Negative","15D","Ipsi",1928,1641.6,444.91
"99","M23","Negative","15D","Ipsi",1010,1381,257.33
"100","M23","Negative","15D","Ipsi",1909,1585.6,430.81
"101","M23","Negative","15D","Ipsi",496,611.79,428.05
"102","M23","Negative","15D","Ipsi",2100,2105.1,613.98
"103","M23","Negative","15D","Ipsi",6,426,8.747
"104","M23","Negative","15D","Ipsi",725,278.21,651.39
"105","M23","Negative","15D","Ipsi",1066,1093.4,308.54
"106","M23","Positive","15D","Ipsi",211,417.59,176.18
"107","M23","Negative","15D","Ipsi",1644,1620.5,199.09
"108","M23","Negative","15D","Ipsi",1901,2034.2,426.36
"109","M23","Negative","15D","Ipsi",1975,1493.1,492.03
"110","M23","Negative","15D","Ipsi",1409,1346.9,654.82
"111","M23","Negative","15D","Ipsi",1448,1571.1,36.21
"112","M23","Negative","15D","Ipsi",1446,1838.6,28.29
"113","M23","Negative","15D","Ipsi",1081,962.89,327.04
"114","M23","Negative","15D","Ipsi",306,614.37,258.54
"115","M23","Negative","15D","Ipsi",1131,1047.3,370.78
"116","M23","Negative","15D","Ipsi",2109,1611.5,632.8
"117","M23","Negative","15D","Ipsi",912,855.09,170.55
"118","M23","Positive","15D","Ipsi",293,131.15,252.35
"119","M23","Negative","15D","Ipsi",1680,1947,233.14
"120","M23","Negative","15D","Ipsi",2036,2062.2,552.55
"121","M23","Negative","15D","Ipsi",1857,1664.9,389.11
"122","M23","Negative","15D","Ipsi",1639,1501.3,202.12
"123","M23","Negative","15D","Ipsi",1699,2024.5,247.48
"124","M23","Negative","15D","Ipsi",1044,1227.6,281.37
"125","M23","Negative","15D","Ipsi",1377,1052.4,622.89
"126","M23","Negative","15D","Ipsi",1927,2062,445.21
"127","M23","Negative","15D","Ipsi",503,690.41,438.39
"128","M23","Negative","15D","Ipsi",857,838.07,103.37
"129","M23","Negative","15D","Ipsi",1430,1624.3,13.47
"130","M23","Negative","15D","Ipsi",841,909.06,94.16
"131","M23","Negative","15D","Ipsi",754,1083.6,14.99
"132","M23","Negative","15D","Ipsi",1037,926.09,279.61
"133","M23","Negative","15D","Ipsi",1363,1019.1,605.73
"134","M23","Negative","15D","Ipsi",1786,1848.6,326.24
"135","M23","Negative","15D","Ipsi",1244,1127.8,484.12
"136","M23","Negative","15D","Ipsi",1558,1786.7,120.88
"137","M23","Negative","15D","Ipsi",1402,1391.1,652.64
"138","M23","Negative","15D","Ipsi",2126,1629.2,656.19
"139","M23","Negative","15D","Ipsi",742,814.56,18.14
"140","M23","Negative","15D","Ipsi",1068,898.15,310.66
"141","M23","Negative","15D","Ipsi",890,1187.9,136.98
"142","M23","Negative","15D","Ipsi",703,222.57,626.88
"143","M23","Negative","15D","Ipsi",2046,2032,562.16
"144","M23","Negative","15D","Ipsi",2124,1718,654.32
"145","M23","Negative","15D","Ipsi",767,1132.7,24.96
"146","M23","Negative","15D","Ipsi",548,667.56,476.15
"147","M23","Negative","15D","Ipsi",1420,1791.4,10.33
"148","M23","Negative","15D","Ipsi",868,1183.7,115.28
"149","M23","Negative","15D","Ipsi",1931,1686.5,451.3
