"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M33","Positive","5D","Ipsi",15289,2868.9,655.39
"2","M33","Positive","5D","Ipsi",11194,1966.1,662.19
"3","M33","Positive","5D","Ipsi",8429,2030.1,194.74
"4","M33","Positive","5D","Ipsi",4387,1131.1,82.28
"5","M33","Positive","5D","Ipsi",11692,2633.6,84.69
"6","M33","Positive","5D","Ipsi",14518,2531.1,533.82
"7","M33","Positive","5D","Ipsi",8492,1793.2,204.05
"8","M33","Positive","5D","Ipsi",12560,2899.5,222.63
"9","M33","Positive","5D","Ipsi",13708,2599.5,412.44
"10","M33","Positive","5D","Ipsi",9255,1767.2,330.57
"11","M33","Positive","5D","Ipsi",14411,2438.8,518.55
"12","M33","Positive","5D","Ipsi",12518,2994.4,217.3
"13","M33","Positive","5D","Ipsi",10207,2189.8,496.82
"14","M33","Positive","5D","Ipsi",8541,1947.5,210.75
"15","M33","Positive","5D","Ipsi",10356,2314.2,522.75
"16","M33","Positive","5D","Ipsi",9304,2153.1,338.79
"17","M33","Positive","5D","Ipsi",6583,1153.3,512.12
"18","M33","Positive","5D","Ipsi",11758,3031.7,95.3
"19","M33","Positive","5D","Ipsi",12554,2666.3,221.05
"20","M33","Positive","5D","Ipsi",8668,1942,231.87
"21","M33","Positive","5D","Ipsi",12026,2976,135.08
"22","M33","Positive","5D","Ipsi",7374,1975,8.522
"23","M33","Positive","5D","Ipsi",7313,1043.9,660.63
"24","M33","Positive","5D","Ipsi",8342,2101.2,176.73
"25","M33","Positive","5D","Ipsi",7229,1267,642.87
"26","M33","Positive","5D","Ipsi",6221,786.67,441.15
"27","M33","Positive","5D","Ipsi",3918,598.15,659.3
"28","M33","Positive","5D","Ipsi",6941,1000.4,582.24
"29","M33","Positive","5D","Ipsi",2051,517.73,353.97
"30","M33","Positive","5D","Ipsi",208,657.56,40
"31","M33","Positive","5D","Ipsi",1394,275.02,244.34
"32","M33","Positive","5D","Ipsi",14396,2422.4,515.99
"33","M33","Positive","5D","Ipsi",14323,3023.8,500.82
"34","M33","Positive","5D","Ipsi",98,640.73,18.89
"35","M33","Positive","5D","Ipsi",3936,203.68,662.1
"36","M33","Positive","5D","Ipsi",9541,2270.2,375.8
"37","M33","Positive","5D","Ipsi",3911,314.19,660.25
"38","M33","Positive","5D","Ipsi",11757,2991.7,93.62
"39","M33","Positive","5D","Ipsi",12918,2580.7,281.2
"40","M33","Positive","5D","Ipsi",8962,1756.6,279.9
"41","M33","Positive","5D","Ipsi",10150,2196.5,485.1
"42","M33","Positive","5D","Ipsi",4628,1476.2,129.02
"43","M33","Positive","5D","Ipsi",7970,2191.7,113.32
"44","M33","Positive","5D","Ipsi",12435,2515,204.76
"45","M33","Positive","5D","Ipsi",8842,1986.9,262.56
"46","M33","Positive","5D","Ipsi",7933,1914.4,108.04
"47","M33","Positive","5D","Ipsi",4286,1467.7,60.65
"48","M33","Positive","5D","Ipsi",11092,2231.2,647.33
"49","M33","Positive","5D","Ipsi",14557,3087.1,538.35
"50","M33","Positive","5D","Ipsi",9507,2311.8,370.99
"51","M33","Positive","5D","Ipsi",9701,2171.6,402.02
"52","M33","Positive","5D","Ipsi",6854,1404.7,564.1
"53","M33","Positive","5D","Ipsi",5701,1514.3,334.02
"54","M33","Positive","5D","Ipsi",7324,903.82,660.99
"55","M33","Positive","5D","Ipsi",12809,2580.2,263.46
"56","M33","Positive","5D","Ipsi",12610,2656.8,231.39
"57","M33","Positive","5D","Ipsi",13574,2500.5,383.89
"58","M33","Positive","5D","Ipsi",9913,1696.3,442.97
"59","M33","Positive","5D","Ipsi",12299,2482.2,182.79
"60","M33","Positive","5D","Ipsi",8997,1693.6,289.73
"61","M33","Positive","5D","Ipsi",9261,2080,332.12
"62","M33","Positive","5D","Ipsi",13123,2530.8,315.58
"63","M33","Positive","5D","Ipsi",7797,1728.8,86.31
"64","M33","Positive","5D","Ipsi",10633,2245.2,567.39
"65","M33","Positive","5D","Ipsi",10731,1714.3,586.41
"66","M33","Positive","5D","Ipsi",5240,1429.6,238.37
"67","M33","Positive","5D","Ipsi",14873,2496,586.18
"68","M33","Positive","5D","Ipsi",14913,2420.3,594.49
"69","M33","Positive","5D","Ipsi",8882,2002.8,266.13
"70","M33","Positive","5D","Ipsi",10631,1865.8,568.17
"71","M33","Positive","5D","Ipsi",13324,2903.7,347.62
"72","M33","Positive","5D","Ipsi",12395,2734.4,197.03
"73","M33","Positive","5D","Ipsi",15360,2670.9,661.82
"74","M33","Positive","5D","Ipsi",12847,2838.6,270.83
"75","M33","Positive","5D","Ipsi",6872,930.61,566.66
"76","M33","Positive","5D","Ipsi",11788,2901.1,97.18
"77","M33","Positive","5D","Ipsi",15313,3055.8,657.46
"78","M33","Positive","5D","Ipsi",1447,638.42,255.23
"79","M33","Positive","5D","Ipsi",2952,43.34,513.37
"80","M33","Positive","5D","Ipsi",4589,877.75,120.58
"81","M33","Positive","5D","Ipsi",5458,1519.1,283.11
"82","M33","Positive","5D","Ipsi",13219,3051.6,331.66
"83","M33","Positive","5D","Ipsi",15007,3017,607.39
"84","M33","Positive","5D","Ipsi",14076,2898.7,466.48
"85","M33","Positive","5D","Ipsi",11634,2881.5,70.73
"86","M33","Positive","5D","Ipsi",11187,1852.4,662.04
"87","M33","Positive","5D","Ipsi",10918,2097.2,614.74
"88","M33","Positive","5D","Ipsi",12519,2397.1,215.11
"89","M33","Positive","5D","Ipsi",7276,1408.3,656.4
"90","M33","Positive","5D","Ipsi",9153,2096.5,314.69
"91","M33","Positive","5D","Ipsi",11083,2116.2,645.39
"92","M33","Positive","5D","Ipsi",7925,1973.2,106.04
"93","M33","Positive","5D","Ipsi",5133,857.44,218.58
"94","M33","Positive","5D","Ipsi",9169,1658.7,313.71
"95","M33","Positive","5D","Ipsi",7697,1879.9,68.06
"96","M33","Positive","5D","Ipsi",13510,2390.9,378.21
"97","M33","Positive","5D","Ipsi",14466,3102.1,524.34
"98","M33","Positive","5D","Ipsi",12911,2845.2,279.69
"99","M33","Positive","5D","Ipsi",12101,2846.7,146.26
"100","M33","Positive","5D","Ipsi",15370,2376.3,661.84
"101","M33","Positive","5D","Ipsi",12820,2592.3,264.11
"102","M33","Positive","5D","Ipsi",12345,2993.1,189.48
"103","M33","Positive","5D","Ipsi",13418,3076.9,362.2
"104","M33","Positive","5D","Ipsi",2128,240.06,369.27
"105","M33","Positive","5D","Ipsi",9821,1840,423.62
"106","M33","Positive","5D","Ipsi",2306,302.13,400.31
"107","M33","Positive","5D","Ipsi",8208,2292.3,152.57
"108","M33","Positive","5D","Ipsi",13003,2983.2,296.25
"109","M33","Positive","5D","Ipsi",8141,2199.5,140.32
"110","M33","Positive","5D","Ipsi",11543,2860.6,57.54
"111","M33","Positive","5D","Ipsi",14788,2946.4,576.33
"112","M33","Positive","5D","Ipsi",11994,2429.2,132.71
"113","M33","Positive","5D","Ipsi",8353,1967.1,178.53
"114","M33","Positive","5D","Ipsi",13820,2533.5,425.66
"115","M33","Positive","5D","Ipsi",5753,989.16,344.36
"116","M33","Positive","5D","Ipsi",11998,2829,133.47
"117","M33","Positive","5D","Ipsi",10443,2228.8,532.15
"118","M33","Positive","5D","Ipsi",7332,971.43,661.53
"119","M33","Positive","5D","Ipsi",3713,6.284,629.12
"120","M33","Positive","5D","Ipsi",12192,2975.1,164.97
"121","M33","Positive","5D","Ipsi",12348,3106.5,186.07
"122","M33","Positive","5D","Ipsi",11309,2541.3,17.71
"123","M33","Positive","5D","Ipsi",13796,2901.2,424.19
"124","M33","Positive","5D","Ipsi",7910,2247.2,100.86
"125","M33","Positive","5D","Ipsi",10508,2304.6,542.99
"126","M33","Positive","5D","Ipsi",8095,1955.8,132.93
"127","M33","Positive","5D","Ipsi",7747,1689.8,77.28
"128","M33","Positive","5D","Ipsi",9598,1833.7,384.22
"129","M33","Positive","5D","Ipsi",6926,1220.4,579.39
"130","M33","Positive","5D","Ipsi",3952,557.26,662.24
"131","M33","Positive","5D","Ipsi",3278,360.31,562.74
"132","M33","Positive","5D","Ipsi",14864,2543.7,584.86
"133","M33","Positive","5D","Ipsi",1331,670.33,233.74
"134","M33","Positive","5D","Ipsi",14366,2743.9,507.91
"135","M33","Positive","5D","Ipsi",2696,709.99,466.53
