"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M37","Positive","15D","Ipsi",405,135.06,249.64
"2","M37","Positive","15D","Ipsi",345,558.15,203.18
"3","M37","Positive","15D","Ipsi",2385,2268.6,127.12
"4","M37","Negative","15D","Ipsi",2798,2351.2,434.12
"5","M37","Positive","15D","Ipsi",990,343.45,636.2
"6","M37","Positive","15D","Ipsi",3259,2698.6,290.93
"7","M37","Positive","15D","Ipsi",1067,1005.6,16.66
"8","M37","Positive","15D","Ipsi",319,205.18,186.97
"9","M37","Positive","15D","Ipsi",1923,1086,499.11
"10","M37","Positive","15D","Ipsi",2427,1803.8,158.81
"11","M37","Positive","15D","Ipsi",2753,1963,395.59
"12","M37","Positive","15D","Ipsi",3199,2939.6,229.46
"13","M37","Positive","15D","Ipsi",989,514.68,635.92
"14","M37","Positive","15D","Ipsi",264,525.78,148.55
"15","M37","Positive","15D","Ipsi",411,209.33,255.51
"16","M37","Positive","15D","Ipsi",2361,1875.7,113.05
"17","M37","Positive","15D","Ipsi",528,170.23,329.64
"18","M37","Positive","15D","Ipsi",95,198.17,59.56
"19","M37","Positive","15D","Ipsi",2007,1024.8,550.53
"20","M37","Positive","15D","Ipsi",2516,2407.7,217.97
"21","M37","Positive","15D","Ipsi",832,715.64,544.65
"22","M37","Positive","15D","Ipsi",2447,2279.1,175.86
"23","M37","Positive","15D","Ipsi",2178,1266.5,645.93
"24","M37","Positive","15D","Ipsi",2450,1866.2,177.69
"25","M37","Positive","15D","Ipsi",2442,1743.4,170.69
"26","M37","Positive","15D","Ipsi",2338,2260.6,88.68
"27","M37","Positive","15D","Ipsi",1243,1398.7,112.48
"28","M37","Positive","15D","Ipsi",2678,1891.3,344.63
"29","M37","Positive","15D","Ipsi",3297,3054.3,320.47
"30","M37","Positive","15D","Ipsi",3416,2722.6,406.05
"31","M37","Positive","15D","Ipsi",3382,2954.5,374.37
"32","M37","Positive","15D","Ipsi",2270,1715.6,44.22
"33","M37","Positive","15D","Ipsi",3458,3020,436.48
"34","M37","Positive","15D","Ipsi",466,204.84,284.69
"35","M37","Positive","15D","Ipsi",2339,1855.2,92.71
"36","M37","Positive","15D","Ipsi",3552,2988.9,535
"37","M37","Positive","15D","Ipsi",1221,918.97,99.86
"38","M37","Positive","15D","Ipsi",3315,2791.2,328.26
"39","M37","Positive","15D","Ipsi",909,76.62,587.67
"40","M37","Positive","15D","Ipsi",2159,1108.4,635.34
"41","M37","Positive","15D","Ipsi",2923,1683,543.32
"42","M37","Positive","15D","Ipsi",2990,2392.4,587.66
"43","M37","Positive","15D","Ipsi",2203,1586.3,657.41
"44","M37","Positive","15D","Ipsi",1940,868.75,503.51
"45","M37","Positive","15D","Ipsi",2015,1428.6,553.36
"46","M37","Positive","15D","Ipsi",2497,1749.8,208.42
"47","M37","Positive","15D","Ipsi",800,241.03,526.37
"48","M37","Positive","15D","Ipsi",2890,1639.2,509.34
"49","M37","Positive","15D","Ipsi",1959,1480.2,514.34
"50","M37","Positive","15D","Ipsi",697,508.3,440.35
"51","M37","Positive","15D","Ipsi",2387,2186.2,126.65
"52","M37","Positive","15D","Ipsi",1675,872.18,356.57
"53","M37","Positive","15D","Ipsi",2070,1037.6,581.16
"54","M37","Positive","15D","Ipsi",1843,1503.8,453.46
"55","M37","Positive","15D","Ipsi",507,764.68,310.25
"56","M37","Positive","15D","Ipsi",2039,1110,567.84
"57","M37","Positive","15D","Ipsi",980,550.69,630.53
"58","M37","Positive","15D","Ipsi",2027,992.89,559.34
"59","M37","Negative","15D","Ipsi",2235,1977.7,12.01
"60","M37","Positive","15D","Ipsi",2501,1838.7,211.18
"61","M37","Positive","15D","Ipsi",672,711.6,425.16
"62","M37","Positive","15D","Ipsi",1127,1049.2,50.91
"63","M37","Negative","15D","Ipsi",3255,2588.7,285.93
"64","M37","Positive","15D","Ipsi",862,740.06,561.23
"65","M37","Positive","15D","Ipsi",143,31.84,87.64
"66","M37","Positive","15D","Ipsi",1788,1456.5,423.5
"67","M37","Positive","15D","Ipsi",1828,1397.2,447.06
"68","M37","Negative","15D","Ipsi",3634,2854.9,613.82
"69","M37","Negative","15D","Ipsi",2620,2259.4,295.01
"70","M37","Positive","15D","Ipsi",2262,2125.1,35.58
"71","M37","Positive","15D","Ipsi",521,194.45,328.77
"72","M37","Positive","15D","Ipsi",948,159.25,613.57
"73","M37","Positive","15D","Ipsi",1726,1126.1,385.12
"74","M37","Positive","15D","Ipsi",2423,2159.4,154.91
"75","M37","Positive","15D","Ipsi",1365,1571.1,174.63
"76","M37","Positive","15D","Ipsi",2296,1825.5,63.19
"77","M37","Positive","15D","Ipsi",2245,2355.2,23.55
"78","M37","Positive","15D","Ipsi",945,617.67,610.2
"79","M37","Negative","15D","Ipsi",2413,2129.2,148.83
"80","M37","Positive","15D","Ipsi",2714,1604.3,366.62
"81","M37","Positive","15D","Ipsi",1283,1143.9,126.86
"82","M37","Positive","15D","Ipsi",365,498.01,215.22
"83","M37","Positive","15D","Ipsi",1071,1051.9,13.83
"84","M37","Positive","15D","Ipsi",756,472.85,490.84
"85","M37","Positive","15D","Ipsi",771,489.56,499.65
"86","M37","Positive","15D","Ipsi",928,698.11,600.29
"87","M37","Positive","15D","Ipsi",2503,1727,214.54
"88","M37","Positive","15D","Ipsi",2718,1664.6,371.79
"89","M37","Positive","15D","Ipsi",1539,1005.6,282.26
"90","M37","Positive","15D","Ipsi",1003,68.88,641.1
"91","M37","Positive","15D","Ipsi",1447,1139.5,227.59
"92","M37","Positive","15D","Ipsi",2907,1606.1,527.59
"93","M37","Positive","15D","Ipsi",1915,1585.3,492.88
"94","M37","Positive","15D","Ipsi",145,708.46,84.24
"95","M37","Positive","15D","Ipsi",1689,1156.3,366.1
"96","M37","Positive","15D","Ipsi",2722,1778.4,367.21
"97","M37","Positive","15D","Ipsi",90,100,56.7
"98","M37","Positive","15D","Ipsi",2005,1188.8,547.14
"99","M37","Positive","15D","Ipsi",1140,1322.7,54.68
"100","M37","Positive","15D","Ipsi",2000,1527.9,543.1
"101","M37","Positive","15D","Ipsi",3629,2967.2,613.5
"102","M37","Positive","15D","Ipsi",1990,835.41,535.59
"103","M37","Positive","15D","Ipsi",1039,9.97,656.49
"104","M37","Positive","15D","Ipsi",3212,2876.7,242.35
"105","M37","Positive","15D","Ipsi",1297,938.78,136.15
"106","M37","Positive","15D","Ipsi",823,352.25,539.52
"107","M37","Positive","15D","Ipsi",2013,1352.4,553.12
"108","M37","Positive","15D","Ipsi",3407,2771.8,397.42
"109","M37","Positive","15D","Ipsi",3265,2796.3,296
