"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M27","30D","CNU","Scene1","21163",3665.3,6586.5,6112.1
"2","M27","30D","CNU","Scene2","14934",4620.9,3515.1,7313.5
"3","M27","30D","IB","Scene5","14466",7020.5,4230.8,7801.4
"4","M27","30D","CTX","Scene4","14595",6065.1,2138.7,9774.8
"5","M27","30D","CNU","Scene2","2106",4620.9,4014.3,5556.6
"6","M27","30D","CNU","Scene2","20087",4620.9,4737.4,6996.5
"7","M27","30D","fiber tracts","Scene3","1793",5256.9,5195,6510.1
"8","M27","30D","CTX","Scene5","25711",7020.5,2308.1,2270.9
"9","M27","30D","IB","Scene4","24152",6065.1,3331.2,6500.4
"10","M27","30D","IB","Scene5","29404",7020.5,6012.3,4839.3
"11","M27","30D","IB","Scene4","24116",6065.1,3270,6576.1
"12","M27","30D","IB","Scene4","24790",6065.1,3867.6,6937.5
"13","M27","30D","IB","Scene4","25796",6065.1,4562.5,6852.4
"14","M27","30D","CNU","Scene1","10715",3665.3,6230.6,5482.2
"15","M27","30D","CTX","Scene1","6262",3665.3,4125.2,5350.1
"16","M27","30D","CNU","Scene2","18187",4620.9,3475.5,7069.7
"17","M27","30D","CNU","Scene1","11168",3665.3,6590,4191.1
"18","M27","30D","CTX","Scene5","26370",7020.5,3273.7,1762.1
"19","M27","30D","CTX","Scene3","17073",5256.9,2114.2,6892.7
"20","M27","30D","CNU","Scene3","3209",5256.9,3506.8,7641.7
"21","M27","30D","CNU","Scene3","5469",5256.9,4720.7,8209
"22","M27","30D","fiber tracts","Scene4","29523",6065.1,4766.6,7338.1
"23","M27","30D","CNU","Scene2","16186",4620.9,4229.8,7920.4
"24","M27","30D","CNU","Scene2","1946",4620.9,3842.8,5086.7
"25","M27","30D","CTX","Scene2","30262",4620.9,2590.3,6345.2
"26","M27","30D","CTX","Scene6","27897",7817.7,3841.4,10538.9
"27","M27","30D","CNU","Scene3","28001",5256.9,6742.7,4355
"28","M27","30D","CNU","Scene3","5583",5256.9,4800.1,7645
"29","M27","30D","CTX","Scene6","25402",7817.7,1790.7,6843.2
"30","M27","30D","CTX","Scene5","21577",7020.5,302.6,5029.3
"31","M27","30D","CTX","Scene6","25327",7817.7,1597.9,7125.7
"32","M27","30D","CTX","Scene5","5697",7020.5,622.9,6217.7
"33","M27","30D","CTX","Scene2","31917",4620.9,3600.9,9093.2
"34","M27","30D","CNU","Scene2","17752",4620.9,5055.6,8330.6
"35","M27","30D","IB","Scene5","18213",7020.5,5871.9,7020.7
"36","M27","30D","fiber tracts","Scene1","556",3665.3,3284.7,6732.3
"37","M27","30D","CTX","Scene4","21208",6065.1,4295.3,10008.7
"38","M27","30D","CTX","Scene2","13570",4620.9,2951,3359.3
"39","M27","30D","fiber tracts","Scene5","19737",7020.5,1469.1,4184.5
"40","M27","30D","IB","Scene5","18858",7020.5,6528.2,7038.1
"41","M27","30D","CTX","Scene6","22815",7817.7,2248.1,7500.1
"42","M27","30D","CTX","Scene2","12562",4620.9,2292.3,2819.2
"43","M27","30D","CNU","Scene3","3287",5256.9,3560.9,7494.9
"44","M27","30D","MB","Scene6","12744",7817.7,2794.6,4683.4
"45","M27","30D","IB","Scene5","19108",7020.5,6733.6,6519.9
"46","M27","30D","MB","Scene6","12766",7817.7,2780.5,5071
"47","M27","30D","CTX","Scene1","9009",3665.3,5080.8,3081.1
"48","M27","30D","IB","Scene5","29537",7020.5,6382.9,5226.4
"49","M27","30D","CTX","Scene3","29625",5256.9,1372.2,4265.7
"50","M27","30D","CTX","Scene6","26326",7817.7,2686.5,9987.1
"51","M27","30D","IB","Scene5","17017",7020.5,5085.7,7303.7
"52","M27","30D","CTX","Scene4","20399",6065.1,3504.7,9557.4
"53","M27","30D","CNU","Scene1","20353",3665.3,5601.1,6749.5
"54","M27","30D","CTX","Scene6","23379",7817.7,419.3,6181.8
"55","M27","30D","CNU","Scene3","4532",5256.9,4228.8,7911.2
"56","M27","30D","CTX","Scene1","7220",3665.3,5200.7,5133.4
"57","M27","30D","CTX","Scene3","19347",5256.9,4223.3,9580.1
"58","M27","30D","CTX","Scene4","3787",6065.1,1907.4,3527.8
"59","M27","30D","CTX","Scene2","33742",4620.9,5085.6,9604.6
"60","M27","30D","IB","Scene4","6684",6065.1,3635.6,4193.2
