"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M31","5D","IB","Scene3",46871,5317.4,5973.1,4673.4
"2","M31","5D","CTX","Scene3",44874,5317.4,1270.3,5324.1
"3","M31","5D","CNU","Scene3",5686,5317.4,3504.2,8534.7
"4","M31","5D","CTX","Scene2",35285,4338.9,1267.6,5991.8
"5","M31","5D","CTX","Scene2",34286,4338.9,2479,7778.5
"6","M31","5D","CNU","Scene3",27624,5317.4,5194.3,4775.5
"7","M31","5D","CNU","Scene3",11834,5317.4,7046.4,8160.2
"8","M31","5D","CNU","Scene2",3613,4338.9,6561.9,5536.1
"9","M31","5D","CNU","Scene2",5582,4338.9,6163.7,5204.8
"10","M31","5D","CNU","Scene3",2902,5317.4,2615.2,7536.8
"11","M31","5D","CTX","Scene3",23134,5317.4,2319.1,9250.2
"12","M31","5D","CNU","Scene2",18381,4338.9,3753.2,7027
"13","M31","5D","CTX","Scene2",33141,4338.9,2984.8,9678
"14","M31","5D","CNU","Scene3",11781,5317.4,3910.4,8374.9
"15","M31","5D","CTX","Scene3",44892,5317.4,1272.2,4521.2
"16","M31","5D","CNU","Scene3",12448,5317.4,3422.6,5753.2
"17","M31","5D","fiber tracts","Scene1",2214,3223.6,6032.1,3872.9
"18","M31","5D","CNU","Scene3",4152,5317.4,4398.4,7090.6
"19","M31","5D","CNU","Scene2",4258,4338.9,6091.9,3868.8
"20","M31","5D","CNU","Scene2",25640,4338.9,3776.3,6168.9
"21","M31","5D","CTX","Scene3",14673,5317.4,2224.1,7832.6
"22","M31","5D","IB","Scene3",26776,5317.4,6399.4,7115.5
"23","M31","5D","CNU","Scene2",18897,4338.9,6048.1,6515
"24","M31","5D","CTX","Scene3",44396,5317.4,2537.1,2498.3
"25","M31","5D","CTX","Scene2",31923,4338.9,2460.5,8174.9
"26","M31","5D","CTX","Scene3",22589,5317.4,4096.7,9768.1
"27","M31","5D","CNU","Scene2",5688,4338.9,5031.9,3418.8
"28","M31","5D","CNU","Scene3",3070,5317.4,3646.2,6372.9
"29","M31","5D","CNU","Scene3",33412,5317.4,3615.2,4569.4
"30","M31","5D","IB","Scene6",14170,7141.4,7051.5,5823
"31","M31","5D","CTX","Scene2",34533,4338.9,4281.7,8988.4
"32","M31","5D","CTX","Scene6",12593,7141.4,6943.9,9566.5
"33","M31","5D","CTX","Scene2",14892,4338.9,1524.1,5415.1
"34","M31","5D","CNU","Scene3",32966,5317.4,5637.7,4092.3
"35","M31","5D","CTX","Scene3",39867,5317.4,1844.2,3284.2
"36","M31","5D","CTX","Scene1",5276,3223.6,5289.7,3016.9
"37","M31","5D","CTX","Scene3",35960,5317.4,5000.3,1595.6
