"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M34","15D","CNU","Scene4",6115,6071.3,5316.9,3637
"2","M34","15D","IB","Scene5",18904,6520.4,6053.6,5039.6
"3","M34","15D","CNU","Scene5",6716,6520.4,4823.4,2360.7
"4","M34","15D","CNU","Scene3",1301,5318.6,2890.4,5297
"5","M34","15D","CNU","Scene4",5310,6071.3,4928.6,3015.5
"6","M34","15D","CNU","Scene4",3358,6071.3,3251.1,2888.1
"7","M34","15D","CTX","Scene2",5639,4268.6,2487.8,3878.9
"8","M34","15D","IB","Scene3",11830,5318.6,6606.6,5499.1
"9","M34","15D","IB","Scene5",18383,6520.4,5601.2,4938.2
"10","M34","15D","CNU","Scene2",3659,4268.6,5223.3,5452.4
"11","M34","15D","IB","Scene6",8964,7410,4029.9,4811
"12","M34","15D","CTX","Scene5",10510,6520.4,2185.1,4636.6
"13","M34","15D","CNU","Scene4",6996,6071.3,5803.1,4031.2
"14","M34","15D","fiber tracts","Scene5",664,6520.4,3209.5,2288.4
"15","M34","15D","CNU","Scene3",3710,5318.6,4270.8,2559.3
"16","M34","15D","CTX","Scene5",11883,6520.4,1867.5,2942
"17","M34","15D","CTX","Scene4",9518,6071.3,1805.6,2107.4
"18","M34","15D","CTX","Scene4",12584,6071.3,4084.5,874.3
"19","M34","15D","fiber tracts","Scene4",20197,6071.3,3265.6,2268.2
"20","M34","15D","CTX","Scene6",20578,7410,6379.1,8936.4
"21","M34","15D","fiber tracts","Scene2",1187,4268.6,3560.3,3184.1
"22","M34","15D","CNU","Scene3",5961,5318.6,5646.6,2764.8
"23","M34","15D","IB","Scene4",16416,6071.3,3855.8,4034.8
"24","M34","15D","CNU","Scene5",5306,6520.4,3199.4,3077.2
"25","M34","15D","fiber tracts","Scene4",21347,6071.3,2193.8,5710
"26","M34","15D","CTX","Scene4",9666,6071.3,1898.3,2103.2
"27","M34","15D","CNU","Scene3",2262,5318.6,3458.1,4073.5
"28","M34","15D","CNU","Scene4",6567,6071.3,5549.2,3196.4
"29","M34","15D","fiber tracts","Scene6",16220,7410,4390.2,8673.7
"30","M34","15D","IB","Scene6",12700,7410,5713.8,4219.7
"31","M34","15D","fiber tracts","Scene4",20457,6071.3,4994.8,4017.8
"32","M34","15D","CTX","Scene4",10504,6071.3,2371.7,2752.3
"33","M34","15D","fiber tracts","Scene5",714,6520.4,3254.2,3296.2
"34","M34","15D","CNU","Scene3",1570,5318.6,3119,5622
"35","M34","15D","CNU","Scene5",5717,6520.4,3903,2065.3
"36","M34","15D","CNU","Scene2",253,4268.6,4414.6,6479
"37","M34","15D","CNU","Scene3",13253,5318.6,6293.1,7467.4
