Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5446.2	661.63	206.1804	59.3189	0.7363	20.4324	15.5988	0.5447	78.24	16.4799	119	43	41.776	43.1903	161	0	10.848	5.3912	31	1	214.88	39.1743	255	109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.4437	4.5617
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5446.5	742.37	239.9805	60.5022	0.8238	21.2673	16.2064	0.5164	127.469	28.7098	179	75	24.9241	24.992	127	1	7.3862	2.9231	15	0	102.331	41.9674	182	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.5301	4.5595
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	4742	762.88	199.4204	54.6315	0.8396	20.5611	13.0037	0.7956	66.374	10.5188	92	40	26.065	16.9327	84	0	3.7154	2.7684	11	0	255	0	255	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.5347	5.2622
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5090.9	766.25	77.7402	34.6555	0.8134	12.5826	9.127	0.6726	52.3542	9.8984	67	32	15.0208	13.0864	57	0	3.4375	1.737	5	0	171.7917	48.8336	255	84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.545	4.9162
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5202.7	811.75	89.5702	37.2059	0.8131	14.4413	8.8567	0.7464	67.4561	10.4507	85	42	25.8246	15.4332	64	4	4.0702	2.3669	9	0	233.5263	34.8927	255	145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.5965	4.8035
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5197.5	828.49	128.4403	47.4795	0.716	18.5499	10.5218	0.8731	62.5122	11.1911	80	39	16.1951	14.9207	63	0	5.2561	2.5667	10	0	136.8415	76.455	255	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.6143	4.8083
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5013.3	886.77	174.0703	53.7498	0.7571	18.0252	14.8472	0.6476	89.3333	21.0287	120	40	28.5714	20.5907	68	3	4.8476	1.1992	10	1	86.981	99.6943	255	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.6727	4.9905
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5495.5	954.43	125.0603	43.8366	0.8178	17.2144	9.3108	0.832	86.2308	12.7991	107	57	40.1026	27.2156	84	0	8.5	5.5567	21	0	211.1026	49.1678	255	119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.7599	4.5023
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	4926.8	1004.2	207.8704	72.787	0.4931	26.0686	14.3325	0.7735	85.3154	21.6143	127	36	26.7231	22.8772	99	0	11.6846	4.7463	27	5	159.4077	84.987	255	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.7975	5.0733
ECM_Exp2_M34_15D_Scene1.tif	Necrosis	Necrosis	CTX	Polygon	5303.7	1023.4	106.4702	41.1468	0.7903	13.5486	11.3112	0.5803	55.4308	11.051	73	31	18.9538	17.8452	81	0	5.7231	2.577	11	0	182.5385	58.7114	255	49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.2118	1.8274	4.6951
