Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M36_15D_Scene1.tif	1	Negative	CTX	Polygon	3346.2	882.2	82.8102	42.2423	0.5832	18.2604	7.5814	0.9204	26.4364	11.0282	48	8	50.8545	21.183	88	12	12.9273	4.9211	21	2	113.8909	55.8804	215	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.511	7.3274
ECM_Exp2_M36_15D_Scene1.tif	2	Negative	CTX	Polygon	2814.1	1084.3	86.1902	39.6201	0.69	15.8532	7.6802	0.8862	45.4068	22.1944	94	8	50.6102	16.5852	83	20	68.1356	50.4946	204	10	193.9492	72.1319	255	62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.7938	7.8502
ECM_Exp2_M36_15D_Scene1.tif	3	Negative	CTX	Polygon	2782.3	1097.3	165.6203	68.7073	0.4409	27.9285	11.6272	0.912	79.6	22.2234	125	35	48.03	15.5163	82	21	43.31	22.2918	100	15	78.34	70.0564	250	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.8119	7.8817
ECM_Exp2_M36_15D_Scene1.tif	4	Negative	CTX	Polygon	3145.6	1105.6	104.7802	48.586	0.5578	21.2614	8.7464	0.9197	20.0448	3.9367	25	11	51.7015	18.4416	100	25	12.8806	5.2528	24	0	239.5075	24.3668	255	156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.7846	7.5318
ECM_Exp2_M36_15D_Scene1.tif	5	Negative	CTX	Polygon	2728.1	1111.4	114.9202	49.7846	0.5827	20.5495	9.3533	0.9129	36.5556	21.5275	73	0	48.5	18.2417	94	18	83.7361	78.1503	248	6	134.7778	28.6785	199	75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.8336	7.9351
ECM_Exp2_M36_15D_Scene1.tif	6	Negative	CTX	Polygon	3215	1146.4	87.8802	41.5502	0.6397	16.1386	9.597	0.8118	7.0167	3.8817	17	0	49.7	13.8151	77	25	12.6833	2.3757	19	8	77.7333	31.6313	142	20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.8244	7.4673
ECM_Exp2_M36_15D_Scene1.tif	7	Negative	CTX	Polygon	3025.6	1163.4	111.5402	43.0228	0.7573	16.2895	10.148	0.7775	10.6438	3.0156	18	8	50.6438	16.5465	82	23	6.6575	4.1104	18	0	200.4247	57.329	255	42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.8633	7.6501
ECM_Exp2_M36_15D_Scene1.tif	8	Negative	CTX	Polygon	2620.2	1162.8	94.6402	38.6229	0.7973	15.3836	9.548	0.7346	44.9153	9.5598	57	24	71.9492	24.2561	131	24	48.1356	34.1096	144	8	237.2881	27.5262	255	125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.9032	8.043
ECM_Exp2_M36_15D_Scene1.tif	9	Negative	CTX	Polygon	3122	1197.7	157.1703	67.1986	0.4374	24.5922	12.1009	0.9157	20.9468	8.1272	43	8	44.8511	22.9539	101	12	7.8298	3.8983	15	0	180.2447	68.1169	255	59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.893	7.5592
ECM_Exp2_M36_15D_Scene1.tif	10	Negative	CTX	Polygon	2653.1	1211.6	135.2003	69.379	0.353	25.4229	13.888	0.9136	12.8095	6.9116	33	0	47.25	19.2315	96	19	9.4762	4.0493	22	2	94.631	63.8007	219	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.3685	1.9562	8.0137
