Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cell: Channel 3 mean	Cell: Channel 3 std dev	Cell: Channel 3 max	Cell: Channel 3 min	Cell: Channel 4 mean	Cell: Channel 4 std dev	Cell: Channel 4 max	Cell: Channel 4 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Cytoplasm: Channel 3 mean	Cytoplasm: Channel 3 std dev	Cytoplasm: Channel 3 max	Cytoplasm: Channel 3 min	Cytoplasm: Channel 4 mean	Cytoplasm: Channel 4 std dev	Cytoplasm: Channel 4 max	Cytoplasm: Channel 4 min	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm
ECM_Exp2_M42_0D_Scene1.tif	73		CNU	Polygon	5396.9	4161.1	381.9408	170.239	0.1656	60.9004	23.7338	0.9616	34.3632	14.7226	82	12	21.7906	5.5715	39	11	130.9573	58.4819	253	35	140.8547	87.0184	255	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7777	4.7744	4.5123
ECM_Exp2_M42_0D_Scene1.tif	35		CNU	Polygon	5366.7	3754	381.9408	166.4417	0.1733	48.8063	34.5613	0.8204	11.693	5.7382	25	0	11.5044	6.666	34	0	74.2149	34.9524	205	26	210.1711	68.8292	255	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.778	4.293	4.5082
ECM_Exp2_M42_0D_Scene1.tif	154		CNU	Polygon	5457.9	4626	381.9408	112.0838	0.3821	45.386	13.1902	0.9692	3.5689	3.8852	14	0	0.0489	0.3922	5	0	53.8533	18.5237	99	20	0.7911	1.6518	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7781	5.3316	4.5055
ECM_Exp2_M42_0D_Scene1.tif	210		CNU	Polygon	5957.2	5384.7	368.4207	167.6191	0.1648	49.562	23.3625	0.907	17.0814	13.1879	42	0	9.0724	4.6947	25	0	36.5158	8.1529	68	22	91.0045	74.0003	255	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.8075	6.1886	4.0851
ECM_Exp2_M42_0D_Scene1.tif	124		CNU	Polygon	5670.2	4443.1	348.1407	143.8474	0.2114	32.9356	23.7915	0.6378	34.5286	31.4482	143	0	19.7	11.4549	72	2	35.6524	8.066	65	21	141.2	65.0015	254	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7961	5.0945	4.2484
ECM_Exp2_M42_0D_Scene1.tif	277		CNU	Polygon	5862.6	6133.6	353.2107	133.627	0.2486	38.0382	20.223	0.8919	40.4641	35.3816	150	0	18.5933	7.306	44	6	80.622	8.0608	104	61	37.8565	43.9553	178	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7972	7.0206	4.233
ECM_Exp2_M42_0D_Scene1.tif	98		CNU	Polygon	5439.1	4328.3	326.1707	146.3999	0.1912	46.3474	26.6219	0.8747	26.7451	9.2993	49	12	18.8873	9.3778	62	2	50.6863	11.2223	84	25	61.9804	52.0477	214	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7795	4.9736	4.4861
ECM_Exp2_M42_0D_Scene1.tif	214		CNU	Polygon	5541.5	5399.6	331.2407	134.885	0.2288	35.1178	26.6036	0.7158	37.7612	14.4956	68	10	17.5224	6.0894	37	3	76.7562	25.0043	138	24	90.8706	60.9799	216	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7768	6.2488	4.5244
ECM_Exp2_M42_0D_Scene1.tif	102		CNU	Polygon	5308.2	4347.1	343.0707	149.7632	0.1922	42.2026	30.2337	0.7987	28.6583	11.4347	61	8	20.4221	10.9873	56	1	56.5176	15.5897	107	20	90.7789	88.4405	255	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7693	5.0029	4.6319
ECM_Exp2_M42_0D_Scene1.tif	246		CNU	Polygon	5598.3	5815.7	327.8607	115.7662	0.3074	41.5833	18.3285	0.9339	106.755	84.1658	255	18	22.045	7.6548	38	6	126.43	18.0205	156	56	255	0	255	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.7788	6.7011	4.4956
