Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
ECM_Exp2_M42_0D_Scene5.tif	fiber tracts	Left: fiber tracts	Image	Geometry	9082.4	5605.9	1009	997	0	232	119	113	48.71	32.49	3477948.9	40550.2
ECM_Exp2_M42_0D_Scene5.tif	fiber tracts	Right: fiber tracts	Image	Geometry	4797.5	5297.2	1009	997	0	164	108	56	34.15	17.04	3286874	37154
ECM_Exp2_M42_0D_Scene5.tif	CNU	Right: CNU	Image	Geometry	4216.6	6653.1	623	567	0	198	111	87	43.94	40.25	2161245.3	11432.5
ECM_Exp2_M42_0D_Scene5.tif	CTX	Right: CTX	Image	Geometry	4156.1	4874	688	567	0	789	403	386	48.92	29.95	12887073.8	32322.7
ECM_Exp2_M42_0D_Scene5.tif	IB	Right: IB	Image	Geometry	5906.9	6319.9	1129	343	0	340	180	160	47.06	21.34	7497259.1	20222.5
ECM_Exp2_M42_0D_Scene5.tif	MB	Right: MB	Image	Geometry	6818.7	5008.3	313	343	0	0	0	0	NaN	0	4739.6	397.89
ECM_Exp2_M42_0D_Scene5.tif	CNU	Left: CNU	Image	Geometry	9604.6	7208.8	623	567	0	42	5	37	88.1	38.27	966724.3	9712.5
ECM_Exp2_M42_0D_Scene5.tif	CTX	Left: CTX	Image	Geometry	9752.8	5394.6	688	567	0	438	190	248	56.62	16.88	14692730.6	37833.3
ECM_Exp2_M42_0D_Scene5.tif	IB	Left: IB	Image	Geometry	7987.6	6382.8	1129	343	0	391	236	155	39.64	19.31	8025463.7	21806.2
ECM_Exp2_M42_0D_Scene5.tif	MB	Left: MB	Image	Geometry	7471.8	4989.8	313	343	0	2	1	1	50	7.363	135821.9	3759.6
