"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M30","Positive","5D","Ipsi",1102,686.73,651.72
"2","M30","Negative","5D","Ipsi",1527,1747.5,196.58
"3","M30","Negative","5D","Ipsi",1740,1070,298.93
"4","M30","Negative","5D","Ipsi",2120,1584.1,488.5
"5","M30","Negative","5D","Ipsi",2421,1166.6,652.68
"6","M30","Negative","5D","Ipsi",2423,1670.8,652.32
"7","M30","Negative","5D","Ipsi",1096,521.23,649.43
"8","M30","Negative","5D","Ipsi",2418,1060.2,649.31
"9","M30","Negative","5D","Ipsi",2480,2854.3,30.52
"10","M30","Negative","5D","Ipsi",2419,1275.4,651.43
"11","M30","Negative","5D","Ipsi",1311,1304.6,88.8
"12","M30","Negative","5D","Ipsi",1661,1305.7,262.65
"13","M30","Negative","5D","Ipsi",1462,1383.9,160.91
"14","M30","Negative","5D","Ipsi",421,901.29,248.46
"15","M30","Negative","5D","Ipsi",529,896.36,309.71
"16","M30","Negative","5D","Ipsi",2422,1096.3,651.89
"17","M30","Negative","5D","Ipsi",1105,979.54,653.43
"18","M30","Negative","5D","Ipsi",389,951.55,224.75
"19","M30","Positive","5D","Ipsi",3675,2940.9,654.39
"20","M30","Negative","5D","Ipsi",1100,1015.7,650.27
"21","M30","Negative","5D","Ipsi",2582,2877.9,90.05
"22","M30","Negative","5D","Ipsi",3562,2099.4,593.68
"23","M30","Negative","5D","Ipsi",2234,1322.4,553.54
"24","M30","Positive","5D","Ipsi",3176,2677.5,404.92
"25","M30","Negative","5D","Ipsi",1905,1064,382.04
"26","M30","Negative","5D","Ipsi",2391,1350.1,631.22
"27","M30","Positive","5D","Ipsi",1035,52.63,607.94
"28","M30","Positive","5D","Ipsi",995,486.07,588.23
"29","M30","Negative","5D","Ipsi",2107,1609.5,486.14
"30","M30","Positive","5D","Ipsi",3673,2998.9,654.21
"31","M30","Negative","5D","Ipsi",2209,1025.8,532.69
"32","M30","Positive","5D","Ipsi",1107,398.39,652.24
"33","M30","Positive","5D","Ipsi",227,41.15,138.12
"34","M30","Negative","5D","Ipsi",1393,1390.4,128.5
"35","M30","Negative","5D","Ipsi",1230,1471.9,45.65
"36","M30","Positive","5D","Ipsi",3674,2526.4,652.78
"37","M30","Negative","5D","Ipsi",1957,1185.6,401.49
"38","M30","Positive","5D","Ipsi",3655,2433,651.21
"39","M30","Positive","5D","Ipsi",2654,2851.2,124.7
"40","M30","Negative","5D","Ipsi",32,533.68,34.32
"41","M30","Negative","5D","Ipsi",2203,1237.4,531.97
"42","M30","Positive","5D","Ipsi",3232,2712.3,436.21
"43","M30","Negative","5D","Ipsi",1110,845.75,652.34
"44","M30","Negative","5D","Ipsi",3676,2771.5,654.02
"45","M30","Negative","5D","Ipsi",2007,1193.3,428.21
"46","M30","Negative","5D","Ipsi",2101,1446.9,473.52
"47","M30","Positive","5D","Ipsi",1135,234.75,657.61
"48","M30","Positive","5D","Ipsi",611,675.62,364.52
"49","M30","Negative","5D","Ipsi",2216,1544.9,538.1
"50","M30","Negative","5D","Ipsi",2033,1033.4,446.21
"51","M30","Negative","5D","Ipsi",747,910.28,434.6
"52","M30","Negative","5D","Ipsi",3666,2267.3,653.17
"53","M30","Negative","5D","Ipsi",2298,1394.6,582.85
"54","M30","Positive","5D","Ipsi",2736,2934.7,170.47
"55","M30","Positive","5D","Ipsi",2601,2590.4,91.16
"56","M30","Negative","5D","Ipsi",1122,574.39,653.5
"57","M30","Negative","5D","Ipsi",2377,1112.3,623.85
"58","M30","Negative","5D","Ipsi",2562,2987.3,73.58
"59","M30","Negative","5D","Ipsi",503,877.76,295.51
"60","M30","Negative","5D","Ipsi",847,236.07,495.67
"61","M30","Negative","5D","Ipsi",2441,1349.8,654.82
"62","M30","Positive","5D","Ipsi",514,689.73,303.57
"63","M30","Negative","5D","Ipsi",1378,1500,113.41
"64","M30","Negative","5D","Ipsi",180,739.33,108.78
"65","M30","Negative","5D","Ipsi",1371,1759.4,113.69
"66","M30","Positive","5D","Ipsi",3000,2475,307.01
"67","M30","Negative","5D","Ipsi",2434,1129,653.77
"68","M30","Negative","5D","Ipsi",1576,1218.8,208.99
"69","M30","Negative","5D","Ipsi",2150,1989.4,500.88
"70","M30","Positive","5D","Ipsi",744,398.62,440.67
"71","M30","Positive","5D","Ipsi",690,413.68,408.16
"72","M30","Negative","5D","Ipsi",2301,1709.6,584.61
"73","M30","Positive","5D","Ipsi",675,766.47,394.35
"74","M30","Negative","5D","Ipsi",1693,1215.4,267.8
"75","M30","Positive","5D","Ipsi",825,847.44,483.75
"76","M30","Positive","5D","Ipsi",749,286.12,439.35
"77","M30","Positive","5D","Ipsi",875,715.64,512.18
"78","M30","Negative","5D","Ipsi",2458,2319.7,14.3
"79","M30","Negative","5D","Ipsi",2442,1773.3,656.57
"80","M30","Positive","5D","Ipsi",492,714.94,284.55
"81","M30","Positive","5D","Ipsi",953,26.19,561.48
"82","M30","Positive","5D","Ipsi",2965,2629.4,286.03
"83","M30","Positive","5D","Ipsi",105,453.61,64.05
"84","M30","Positive","5D","Ipsi",2704,2192,150.35
