"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M32","Positive","5D","Ipsi",6197,1377,455.37
"2","M32","Positive","5D","Ipsi",6540,1566.9,523.72
"3","M32","Positive","5D","Ipsi",7279,1155.8,659.69
"4","M32","Positive","5D","Ipsi",1910,206.72,344.7
"5","M32","Positive","5D","Ipsi",10517,1886.1,555.58
"6","M32","Positive","5D","Ipsi",3453,519.18,636.93
"7","M32","Positive","5D","Ipsi",4476,983.26,161.57
"8","M32","Positive","5D","Ipsi",15033,2596.6,658.73
"9","M32","Positive","5D","Ipsi",10396,1663.4,534.77
"10","M32","Positive","5D","Ipsi",5526,1014.2,343.72
"11","M32","Positive","5D","Ipsi",10378,2297.3,531.17
"12","M32","Positive","5D","Ipsi",15099,2752.7,662.27
"13","M32","Positive","5D","Ipsi",13188,2351.4,344.53
"14","M32","Positive","5D","Ipsi",3393,102.48,624.93
"15","M32","Positive","5D","Ipsi",12066,2641.5,151.21
"16","M32","Positive","5D","Ipsi",11327,2846.2,30.04
"17","M32","Positive","5D","Ipsi",10844,2260.9,612.02
"18","M32","Positive","5D","Ipsi",8085,2044.5,136.61
"19","M32","Positive","5D","Ipsi",14060,2715.9,489.26
"20","M32","Positive","5D","Ipsi",12821,2719.9,284.79
"21","M32","Positive","5D","Ipsi",12287,2820,196.47
"22","M32","Positive","5D","Ipsi",9849,1818,438.54
"23","M32","Positive","5D","Ipsi",13217,2419.6,351.21
"24","M32","Positive","5D","Ipsi",6811,1525.9,575.72
"25","M32","Positive","5D","Ipsi",11969,2850.4,133.8
"26","M32","Positive","5D","Ipsi",5589,831.64,352.34
"27","M32","Positive","5D","Ipsi",12633,3012.4,252.62
"28","M32","Positive","5D","Ipsi",7246,813.62,651.78
"29","M32","Positive","5D","Ipsi",7774,1752.2,79.09
"30","M32","Positive","5D","Ipsi",7734,2140.2,71
"31","M32","Positive","5D","Ipsi",10696,1581.8,582.58
"32","M32","Positive","5D","Ipsi",640,670.42,118.25
"33","M32","Positive","5D","Ipsi",2559,721.78,471.9
"34","M32","Positive","5D","Ipsi",11492,2808.3,52.89
"35","M32","Positive","5D","Ipsi",14189,2606.5,512.09
"36","M32","Positive","5D","Ipsi",7342,1067.6,662.26
"37","M32","Positive","5D","Ipsi",1676,668.31,303.9
"38","M32","Positive","5D","Ipsi",2041,642.83,370.9
"39","M32","Positive","5D","Ipsi",6810,834.44,576.55
"40","M32","Positive","5D","Ipsi",12622,3059.1,250.91
"41","M32","Positive","5D","Ipsi",6607,1432.2,534.63
"42","M32","Positive","5D","Ipsi",6203,839.87,456.87
