"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M34","Positive","15D","Ipsi",1223,1246.1,130.89
"2","M34","Positive","15D","Ipsi",149,606.63,91.61
"3","M34","Positive","15D","Ipsi",1397,1340.6,212.81
"4","M34","Positive","15D","Ipsi",1197,1150,110.49
"5","M34","Positive","15D","Ipsi",821,26.85,536.49
"6","M34","Positive","15D","Ipsi",1423,1389.8,247.86
"7","M34","Positive","15D","Ipsi",445,794.35,275.16
"8","M34","Negative","15D","Ipsi",1884,1275.2,637.57
"9","M34","Positive","15D","Ipsi",783,671.23,523.92
"10","M34","Positive","15D","Ipsi",1878,1364.4,644.62
"11","M34","Positive","15D","Ipsi",338,785.59,198.87
"12","M34","Positive","15D","Ipsi",1598,1248.7,349.37
"13","M34","Positive","15D","Ipsi",1575,1516.6,343.68
"14","M34","Positive","15D","Ipsi",923,241.4,589.07
"15","M34","Positive","15D","Ipsi",2377,2067.9,392.84
"16","M34","Positive","15D","Ipsi",1266,1301.4,147.76
"17","M34","Positive","15D","Ipsi",893,947.67,562.03
"18","M34","Positive","15D","Ipsi",1600,1717.3,347.49
"19","M34","Negative","15D","Ipsi",1274,1207.7,162.04
"20","M34","Positive","15D","Ipsi",2300,2178,331.82
"21","M34","Positive","15D","Ipsi",19,777.72,28.19
"22","M34","Positive","15D","Ipsi",2205,2610.2,261.63
"23","M34","Positive","15D","Ipsi",11,744.8,13.11
"24","M34","Positive","15D","Ipsi",2024,2129.1,96.79
"25","M34","Negative","15D","Ipsi",1111,1163.2,38.34
"26","M34","Positive","15D","Ipsi",1213,1517.1,113.89
"27","M34","Positive","15D","Ipsi",2697,2112.1,651.21
"28","M34","Positive","15D","Ipsi",202,607.93,131.27
"29","M34","Negative","15D","Ipsi",1177,1170.7,75.03
"30","M34","Positive","15D","Ipsi",2561,2107.5,540.42
"31","M34","Positive","15D","Ipsi",84,655.87,54.9
"32","M34","Positive","15D","Ipsi",2668,2417.1,626.8
"33","M34","Positive","15D","Ipsi",301,729.36,175.68
"34","M34","Positive","15D","Ipsi",2011,2223.9,82.39
"35","M34","Positive","15D","Ipsi",208,190.51,128.22
"36","M34","Positive","15D","Ipsi",339,696.92,194.71
"37","M34","Positive","15D","Ipsi",2614,2217.8,591.82
"38","M34","Positive","15D","Ipsi",1670,1187.2,402.89
"39","M34","Positive","15D","Ipsi",428,532.35,260.62
"40","M34","Positive","15D","Ipsi",612,838.13,370.89
"41","M34","Positive","15D","Ipsi",2642,2126.9,605.61
"42","M34","Positive","15D","Ipsi",134,113.5,81.9
"43","M34","Positive","15D","Ipsi",42,982.57,43.19
"44","M34","Positive","15D","Ipsi",2661,2095.2,625.57
"45","M34","Positive","15D","Ipsi",2079,2555.1,146.85
"46","M34","Positive","15D","Ipsi",2180,2069.4,230.58
"47","M34","Positive","15D","Ipsi",1553,1911.9,301.4
"48","M34","Negative","15D","Ipsi",1424,1300,232.01
"49","M34","Positive","15D","Ipsi",2013,2582.7,93.51
"50","M34","Positive","15D","Ipsi",1071,1001.7,16.12
"51","M34","Positive","15D","Ipsi",1028,834.57,649.88
"52","M34","Positive","15D","Ipsi",917,866.75,593.13
"53","M34","Positive","15D","Ipsi",1414,1314,217.58
"54","M34","Positive","15D","Ipsi",2600,2269,575.57
"55","M34","Positive","15D","Ipsi",2483,2548.8,479.74
"56","M34","Positive","15D","Ipsi",347,430.07,209.79
"57","M34","Positive","15D","Ipsi",2666,2630,624.24
"58","M34","Positive","15D","Ipsi",807,107.83,511.67
"59","M34","Positive","15D","Ipsi",236,706.2,137.39
"60","M34","Positive","15D","Ipsi",2382,2027.6,385.87
"61","M34","Positive","15D","Ipsi",2462,2012.8,456.25
"62","M34","Positive","15D","Ipsi",166,401.27,100.01
"63","M34","Positive","15D","Ipsi",268,384.37,160.62
"64","M34","Positive","15D","Ipsi",2134,2694.6,200.22
"65","M34","Positive","15D","Ipsi",1010,49.19,644.33
"66","M34","Positive","15D","Ipsi",24,75.51,24.8
"67","M34","Positive","15D","Ipsi",2669,2282.1,631.16
"68","M34","Positive","15D","Ipsi",935,53.56,589.62
"69","M34","Positive","15D","Ipsi",1968,2900.4,49.7
"70","M34","Positive","15D","Ipsi",2596,2127,567.57
"71","M34","Positive","15D","Ipsi",512,500.8,322.19
"72","M34","Positive","15D","Ipsi",410,641.75,240.27
"73","M34","Positive","15D","Ipsi",196,74.73,124.35
"74","M34","Positive","15D","Ipsi",2646,2593.3,620.53
"75","M34","Positive","15D","Ipsi",625,932.5,376.22
"76","M34","Positive","15D","Ipsi",1584,1942.9,319.66
"77","M34","Positive","15D","Ipsi",110,757.26,65.13
"78","M34","Positive","15D","Ipsi",2588,2529.9,563.72
"79","M34","Positive","15D","Ipsi",1626,1121,359.8
"80","M34","Positive","15D","Ipsi",673,746.19,424.56
"81","M34","Positive","15D","Ipsi",580,833.83,349.09
"82","M34","Positive","15D","Ipsi",94,113.94,52.06
"83","M34","Positive","15D","Ipsi",113,857.95,64.02
"84","M34","Positive","15D","Ipsi",547,185.63,336.98
"85","M34","Positive","15D","Ipsi",1161,1123.3,69.54
"86","M34","Positive","15D","Ipsi",2236,2736.1,288.3
"87","M34","Positive","15D","Ipsi",1106,1399.1,40.97
"88","M34","Positive","15D","Ipsi",916,531.27,576.34
"89","M34","Positive","15D","Ipsi",400,804.04,244.68
"90","M34","Positive","15D","Ipsi",2260,2154.2,294.94
"91","M34","Positive","15D","Ipsi",285,12.97,172.71
"92","M34","Positive","15D","Ipsi",734,941.24,445.96
"93","M34","Positive","15D","Ipsi",141,487.09,86.87
"94","M34","Positive","15D","Ipsi",2410,2797.4,401.65
