"","MouseID","Class","DPI","Hemisphere","ID","X","Y"
"1","M34","Positive","15D","Ipsi",2314,2196.7,543.66
"2","M34","Positive","15D","Ipsi",601,903.21,542.85
"3","M34","Positive","15D","Ipsi",1008,1281.6,202.02
"4","M34","Positive","15D","Ipsi",2141,2002.4,352.04
"5","M34","Positive","15D","Ipsi",814,1448.1,59.29
"6","M34","Positive","15D","Ipsi",852,1154.9,90.64
"7","M34","Negative","15D","Ipsi",1200,1875,327.95
"8","M34","Negative","15D","Ipsi",1053,1918.7,239.3
"9","M34","Positive","15D","Ipsi",819,1572,63.15
"10","M34","Negative","15D","Ipsi",990,1897.4,193.34
"11","M34","Positive","15D","Ipsi",596,857.63,537.71
"12","M34","Positive","15D","Ipsi",2413,2095.6,639.36
"13","M34","Negative","15D","Ipsi",2118,2881.1,321.99
"14","M34","Negative","15D","Ipsi",1924,2008,78.2
"15","M34","Positive","15D","Ipsi",926,1767.7,149.61
"16","M34","Negative","15D","Ipsi",778,1948.3,33.81
"17","M34","Positive","15D","Ipsi",593,834.08,531.08
"18","M34","Positive","15D","Ipsi",2265,2165.9,488.31
"19","M34","Positive","15D","Ipsi",2089,1971.4,285.12
"20","M34","Positive","15D","Ipsi",1428,1300.1,449.42
"21","M34","Positive","15D","Ipsi",2351,2238.3,580.48
"22","M34","Negative","15D","Ipsi",1693,1915.5,588.24
"23","M34","Positive","15D","Ipsi",1148,1414.1,296.47
"24","M34","Positive","15D","Ipsi",983,1356.6,189.18
"25","M34","Positive","15D","Ipsi",307,725.67,237.98
"26","M34","Positive","15D","Ipsi",1389,1007.6,428.43
"27","M34","Positive","15D","Ipsi",2194,2946.8,407.84
"28","M34","Negative","15D","Ipsi",1936,2566.2,94.15
"29","M34","Positive","15D","Ipsi",2366,2182,593.58
"30","M34","Positive","15D","Ipsi",1085,1392.5,262.73
"31","M34","Positive","15D","Ipsi",2224,2243.6,445.67
"32","M34","Positive","15D","Ipsi",765,1148.6,24.03
"33","M34","Positive","15D","Ipsi",1462,1145.1,467.04
"34","M34","Positive","15D","Ipsi",1704,1864.7,591.63
"35","M34","Positive","15D","Ipsi",881,1751,108.42
"36","M34","Positive","15D","Ipsi",2226,2010.9,448.69
"37","M34","Positive","15D","Ipsi",405,894.84,328.45
"38","M34","Positive","15D","Ipsi",46,664.27,28.38
"39","M34","Positive","15D","Ipsi",902,1265,128.98
"40","M34","Positive","15D","Ipsi",480,864.48,395.47
"41","M34","Negative","15D","Ipsi",755,1896.1,14.51
"42","M34","Positive","15D","Ipsi",887,1226.9,121.12
"43","M34","Positive","15D","Ipsi",1308,1440.4,383.73
"44","M34","Positive","15D","Ipsi",1426,1861.2,445.21
"45","M34","Positive","15D","Ipsi",785,1892.6,36.33
"46","M34","Negative","15D","Ipsi",2102,2567.1,304.01
"47","M34","Positive","15D","Ipsi",2198,2790.9,414.67
"48","M34","Positive","15D","Ipsi",1578,1800.3,525.21
"49","M34","Positive","15D","Ipsi",132,828.28,90.53
"50","M34","Positive","15D","Ipsi",288,852.33,218.9
"51","M34","Negative","15D","Ipsi",2001,2671.1,165.85
"52","M34","Positive","15D","Ipsi",363,834.17,270.77
"53","M34","Positive","15D","Ipsi",492,887.42,412.55
"54","M34","Positive","15D","Ipsi",634,897.08,566.66
"55","M34","Positive","15D","Ipsi",1299,1856.9,379.06
"56","M34","Positive","15D","Ipsi",1231,1958.7,339.96
"57","M34","Positive","15D","Ipsi",1081,1424.9,259.37
"58","M34","Positive","15D","Ipsi",1023,1379.3,221.24
"59","M34","Positive","15D","Ipsi",649,880.43,582.26
"60","M34","Positive","15D","Ipsi",118,777.39,78.75
"61","M34","Negative","15D","Ipsi",671,436.53,606.22
"62","M34","Negative","15D","Ipsi",2140,2927.5,346.53
"63","M34","Positive","15D","Ipsi",371,792.1,279.23
"64","M34","Negative","15D","Ipsi",869,1729,96.89
"65","M34","Positive","15D","Ipsi",876,1551.2,103.56
"66","M34","Positive","15D","Ipsi",169,666.59,118.12
"67","M34","Positive","15D","Ipsi",2350,2212.9,578.62
"68","M34","Positive","15D","Ipsi",576,923.78,522.05
"69","M34","Positive","15D","Ipsi",2101,2720.2,294.98
"70","M34","Positive","15D","Ipsi",1171,1686.9,309.8
"71","M34","Positive","15D","Ipsi",1021,1831.8,212.03
"72","M34","Positive","15D","Ipsi",379,857.92,287.59
"73","M34","Positive","15D","Ipsi",2173,2031.8,381.41
