"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M37","15D","CTX","Scene4",16339,5993,5007.7,1271.8
"2","M37","15D","CTX","Scene6",4473,7168.2,2605.6,6747
"3","M37","15D","CTX","Scene6",19258,7168.2,2398.8,4786.1
"4","M37","15D","CNU","Scene2",1545,4292,4168.6,3866.9
"5","M37","15D","CNU","Scene2",3514,4292,4769.2,7216.2
"6","M37","15D","CTX","Scene5",10078,6671.2,1354.3,9484.1
"7","M37","15D","CNU","Scene4",434,5993,6442.2,3655.8
"8","M37","15D","IB","Scene4",34929,5993,6018.7,5927.6
"9","M37","15D","IB","Scene4",35596,5993,4515,5714.2
"10","M37","15D","CTX","Scene1",2214,3496.9,4124,3171.8
"11","M37","15D","CNU","Scene4",27300,5993,5024,8525.4
"12","M37","15D","CTX","Scene2",2190,4292,2296.6,5363.9
"13","M37","15D","IB","Scene6",10179,7168.2,3748,6007.7
"14","M37","15D","CTX","Scene4",7693,5993,3741.2,1863.4
"15","M37","15D","IB","Scene5",13720,6671.2,4899.5,7061.3
"16","M37","15D","CTX","Scene6",23515,7168.2,6196.4,2583.5
"17","M37","15D","CNU","Scene4",950,5993,5575.1,2801.6
"18","M37","15D","CTX","Scene5",31340,6671.2,2162.6,1333.1
"19","M37","15D","CTX","Scene6",7814,7168.2,1997.7,10186.1
"20","M37","15D","CTX","Scene5",9533,6671.2,5296.8,10162.7
"21","M37","15D","CNU","Scene2",3620,4292,6631.4,5925.1
"22","M37","15D","CTX","Scene5",20356,6671.2,1425,2976.1
"23","M37","15D","fiber tracts","Scene6",2496,7168.2,3547.9,7978.4
"24","M37","15D","MB","Scene7",17561,8200.5,2836.6,5239.9
"25","M37","15D","IB","Scene6",9552,7168.2,4798.9,6149.7
"26","M37","15D","CTX","Scene1",5276,3496.9,4355.2,3249.9
"27","M37","15D","CTX","Scene5",22904,6671.2,6413.4,1666.1
"28","M37","15D","CTX","Scene4",12131,5993,2513.1,1521.9
"29","M37","15D","CTX","Scene1",2751,3496.9,2363.6,2769.9
"30","M37","15D","CTX","Scene7",2781,8200.5,5830.5,8348.5
"31","M37","15D","CTX","Scene7",12020,8200.5,4812.4,2680.8
"32","M37","15D","CNU","Scene2",992,4292,3542.1,3948.1
"33","M37","15D","CNU","Scene4",25195,5993,5180.7,7377
"34","M37","15D","CTX","Scene5",3588,6671.2,3303.2,9804.1
"35","M37","15D","CNU","Scene3",4115,4976.9,7018.8,3064.7
"36","M37","15D","CTX","Scene5",23249,6671.2,5981.9,2118.7
"37","M37","15D","CNU","Scene3",3858,4976.9,3999.8,4076.4
"38","M37","15D","IB","Scene6",25803,7168.2,3803.1,4203.6
"39","M37","15D","CTX","Scene3",8971,4976.9,1561.3,4021.4
"40","M37","15D","CTX","Scene5",3041,6671.2,1197.9,8137.6
"41","M37","15D","CTX","Scene5",30085,6671.2,7229.5,3295.7
"42","M37","15D","CTX","Scene7",14259,8200.5,6067.5,3202.6
"43","M37","15D","CNU","Scene3",8029,4976.9,4213.8,4443
"44","M37","15D","CTX","Scene5",28591,6671.2,2117.8,2511.7
"45","M37","15D","IB","Scene6",10348,7168.2,4272,7680.5
"46","M37","15D","CTX","Scene4",10217,5993,2361.9,1853.6
"47","M37","15D","CNU","Scene2",1211,4292,6541.9,3223.4
"48","M37","15D","IB","Scene4",19019,5993,4357.5,4672.5
"49","M37","15D","CTX","Scene2",3327,4292,1466.4,3676.2
"50","M37","15D","CNU","Scene4",4779,5993,5674.8,3791.7
"51","M37","15D","CNU","Scene6",3297,7168.2,6584.2,7896.7
"52","M37","15D","CTX","Scene4",14836,5993,885.2,3698.9
"53","M37","15D","CTX","Scene5",31063,6671.2,2881.5,1067.1
"54","M37","15D","IB","Scene5",35268,6671.2,3844,4702.5
"55","M37","15D","CTX","Scene5",8321,6671.2,2868.1,6777.7
"56","M37","15D","IB","Scene4",34360,5993,3740.6,6814.4
"57","M37","15D","CNU","Scene5",1283,6671.2,2894,8628.3
"58","M37","15D","CTX","Scene1",5726,3496.9,4566.7,2940.2
"59","M37","15D","CTX","Scene1",6236,3496.9,3063.2,3636.1
"60","M37","15D","CNU","Scene4",24772,5993,5384.1,9041
"61","M37","15D","CTX","Scene1",2507,3496.9,5677.6,3591.9
"62","M37","15D","CTX","Scene6",22703,7168.2,1132,4432.6
"63","M37","15D","IB","Scene7",16357,8200.5,3918.5,3257.7
"64","M37","15D","CNU","Scene3",7704,4976.9,3832.9,3573
"65","M37","15D","fiber tracts","Scene5",40654,6671.2,3589.7,3182.3
"66","M37","15D","CTX","Scene5",32854,6671.2,6166.6,1817.4
"67","M37","15D","CNU","Scene5",1146,6671.2,5364.6,7425.4
"68","M37","15D","CTX","Scene6",23139,7168.2,5014.8,1427.7
"69","M37","15D","CTX","Scene4",15323,5993,4208.4,1417.1
"70","M37","15D","IB","Scene5",35820,6671.2,4157.6,5440
"71","M37","15D","CTX","Scene1",7074,3496.9,2318,6321.2
"72","M37","15D","CTX","Scene5",20035,6671.2,1144,4179
"73","M37","15D","CTX","Scene7",6930,8200.5,3216.2,1508.6
"74","M37","15D","IB","Scene6",28593,7168.2,7310.7,5576.4
"75","M37","15D","CTX","Scene7",2254,8200.5,3416.5,10007.8
"76","M37","15D","fiber tracts","Scene1",78,3496.9,3616,4315.7
"77","M37","15D","CTX","Scene5",4747,6671.2,2234.8,7648.9
"78","M37","15D","CTX","Scene6",16537,7168.2,2198.9,3760.4
"79","M37","15D","CTX","Scene1",3101,3496.9,1907.3,4474.1
"80","M37","15D","CTX","Scene4",8376,5993,7140.9,2360.8
"81","M37","15D","CTX","Scene5",22958,6671.2,6893.1,3151.7
"82","M37","15D","CTX","Scene4",33894,5993,1387.6,8211.7
"83","M37","15D","CTX","Scene3",2052,4976.9,5491.1,9578.2
"84","M37","15D","CTX","Scene4",31992,5993,745.9,7889.1
"85","M37","15D","CTX","Scene7",9699,8200.5,3516.5,2780.5
"86","M37","15D","fiber tracts","Scene4",23602,5993,2023.5,7035.6
"87","M37","15D","IB","Scene5",37143,6671.2,4189.4,5244.9
"88","M37","15D","CTX","Scene1",3826,3496.9,2480.3,2765.7
"89","M37","15D","CNU","Scene1",6415,3496.9,5400.4,4602.9
"90","M37","15D","CTX","Scene6",5129,7168.2,6321,9095.6
"91","M37","15D","CTX","Scene4",16291,5993,2111.4,3313.1
