"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M41","0D","CNU","Scene1","994",3870.4,5379,5148.6
"2","M41","0D","CTX","Scene6","28150",7975.8,4349.9,1220.7
"3","M41","0D","CTX","Scene1","4933",3870.4,2268.6,2802.1
"4","M41","0D","IB","Scene4","39237",6221,4183,3692.9
"5","M41","0D","CTX","Scene6","25160",7975.8,2028.3,3184.3
"6","M41","0D","CTX","Scene5","6942",6701,1269.4,6641.5
"7","M41","0D","CTX","Scene3","25986",5586.2,3579.6,1788.3
"8","M41","0D","CTX","Scene6","25641",7975.8,2503.2,3885.4
"9","M41","0D","CNU","Scene5","24293",6701,6081.6,3194.1
"10","M41","0D","CNU","Scene2","285",4619,3456.2,8275.4
"11","M41","0D","fiber tracts","Scene4","18362",6221,2608.8,8386
"12","M41","0D","CTX","Scene3","28239",5586.2,5700.2,1817.5
"13","M41","0D","CTX","Scene5","33128",6701,2654.3,1851.5
"14","M41","0D","CNU","Scene3","18821",5586.2,5670,3125.8
"15","M41","0D","CTX","Scene2","22863",4619,1428,3621.3
"16","M41","0D","CTX","Scene4","8095",6221,2933,10143.1
"17","M41","0D","IB","Scene5","15189",6701,4310.9,8199.5
"18","M41","0D","CTX","Scene3","28318",5586.2,5800.7,2027.4
"19","M41","0D","CTX","Scene5","32232",6701,2389.6,1709.8
"20","M41","0D","CNU","Scene5","1973",6701,6559.6,7929.3
"21","M41","0D","CTX","Scene2","23100",4619,1652,3572.8
"22","M41","0D","CNU","Scene3","13385",5586.2,2961.4,4286.7
"23","M41","0D","CTX","Scene6","5540",7975.8,1969.8,6962.3
"24","M41","0D","IB","Scene3","12988",5586.2,6968.2,6567.1
"25","M41","0D","CTX","Scene6","27172",7975.8,3515.3,1083.5
"26","M41","0D","CTX","Scene5","33067",6701,2628.5,2317.5
"27","M41","0D","CTX","Scene5","38958",6701,6916.7,2425.3
"28","M41","0D","CTX","Scene4","31509",6221,3231.8,1049.5
"29","M41","0D","fiber tracts","Scene3","32266",5586.2,4838,6118.4
"30","M41","0D","CTX","Scene3","20150",5586.2,1240.5,3766.1
"31","M41","0D","CTX","Scene4","32112",6221,3664.5,1071.1
"32","M41","0D","CTX","Scene1","5082",3870.4,2424.6,2707.8
"33","M41","0D","CTX","Scene6","2370",7975.8,2440.7,8468.2
"34","M41","0D","CNU","Scene2","1500",4619,3772.3,6859.2
"35","M41","0D","CTX","Scene5","30009",6701,1313.9,2367.5
"36","M41","0D","MB","Scene6","38386",7975.8,4823.8,5542.2
"37","M41","0D","CNU","Scene2","3184",4619,5395.8,7270.1
"38","M41","0D","CTX","Scene6","4132",7975.8,1046.3,6130.6
"39","M41","0D","CTX","Scene4","28471",6221,1675.1,2819.1
"40","M41","0D","IB","Scene6","16566",7975.8,4217.7,7557.4
"41","M41","0D","CTX","Scene3","7783",5586.2,1737.8,6806.3
"42","M41","0D","IB","Scene4","16215",6221,5981.9,7171.7
"43","M41","0D","CTX","Scene5","7727",6701,1654.2,6071.5
"44","M41","0D","CTX","Scene1","3870",3870.4,2807.2,4237.7
"45","M41","0D","fiber tracts","Scene4","18891",6221,5782.3,8993.8
"46","M41","0D","CNU","Scene5","801",6701,4154.1,8817.5
"47","M41","0D","CTX","Scene1","12479",3870.4,3707.7,9574.5
"48","M41","0D","CNU","Scene3","18428",5586.2,5026,3606.3
"49","M41","0D","IB","Scene5","15081",6701,4157.4,7179.3
"50","M41","0D","CNU","Scene3","13804",5586.2,3532.9,4089.4
"51","M41","0D","IB","Scene5","42706",6701,4662,5291.3
"52","M41","0D","IB","Scene5","41330",6701,3963.8,4974.3
"53","M41","0D","CTX","Scene2","10982",4619,4590.8,9540.4
"54","M41","0D","fiber tracts","Scene6","39373",7975.8,1303.2,3762.4
"55","M41","0D","MB","Scene6","19436",7975.8,4349,5918.4
"56","M41","0D","CTX","Scene6","12762",7975.8,6241.1,8787.4
"57","M41","0D","CTX","Scene5","5495",6701,734.4,7114
"58","M41","0D","CNU","Scene4","2348",6221,6347.5,8596.2
"59","M41","0D","CTX","Scene4","28017",6221,1396.3,2632.9
"60","M41","0D","CTX","Scene3","6845",5586.2,1225.8,6504.2
"61","M41","0D","CTX","Scene6","12841",7975.8,6254.9,9741.1
"62","M41","0D","CTX","Scene1","8039",3870.4,4634.5,2226.8
"63","M41","0D","CTX","Scene6","25270",7975.8,2153.6,1258.1
"64","M41","0D","CTX","Scene5","27814",6701,1418,3806.7
"65","M41","0D","CTX","Scene4","5931",6221,1316.3,8104
"66","M41","0D","CTX","Scene3","8515",5586.2,2067.7,7531
"67","M41","0D","CTX","Scene5","6829",6701,1263.8,7577.1
"68","M41","0D","CTX","Scene4","36070",6221,6595.5,3245
"69","M41","0D","CTX","Scene3","9316",5586.2,3510,10032.3
"70","M41","0D","CTX","Scene3","6324",5586.2,964.7,6408.6
"71","M41","0D","IB","Scene6","17062",7975.8,4599.4,7778.8
"72","M41","0D","IB","Scene4","16011",6221,5774,5952.8
"73","M41","0D","CNU","Scene2","17482",4619,6399,4398.2
"74","M41","0D","CTX","Scene4","29914",6221,2333.8,2795.9
"75","M41","0D","CTX","Scene6","133",7975.8,864.3,8984.4
"76","M41","0D","CNU","Scene2","3615",4619,5900.6,7623.2
"77","M41","0D","CTX","Scene5","39425",6701,7422.9,2688.5
"78","M41","0D","CTX","Scene6","13380",7975.8,6529.2,9653.8
"79","M41","0D","IB","Scene5","44677",6701,6212.2,4898
"80","M41","0D","IB","Scene4","41143",6221,5512.5,5114.3
"81","M41","0D","CTX","Scene3","10109",5586.2,4739.4,10140.7
"82","M41","0D","fiber tracts","Scene4","17599",6221,3771.8,2039.5
"83","M41","0D","CTX","Scene6","8066",7975.8,4009.5,10686.1
"84","M41","0D","CTX","Scene4","27709",6221,1102.8,3200.6
"85","M41","0D","CNU","Scene3","2548",5586.2,5346.8,8744.3
"86","M41","0D","CTX","Scene4","8700",6221,3553.5,9882
"87","M41","0D","CTX","Scene4","24219",6221,924.7,3356.6
"88","M41","0D","CTX","Scene2","26784",4619,4093.9,2413.1
"89","M41","0D","IB","Scene4","16111",6221,5871.4,6278.6
"90","M41","0D","CTX","Scene5","27209",6701,1211.5,4382.2
"91","M41","0D","IB","Scene4","39334",6221,4204.8,5480.6
"92","M41","0D","CNU","Scene2","15485",4619,3503.3,3978.5
"93","M41","0D","CTX","Scene4","4987",6221,902.2,7679.1
"94","M41","0D","IB","Scene4","42203",6221,6170.9,5363.5
"95","M41","0D","IB","Scene5","43124",6701,4943.4,5004.6
"96","M41","0D","IB","Scene5","40136",6701,3365.8,5595
"97","M41","0D","IB","Scene4","40702",6221,5208.3,4490.9
"98","M41","0D","IB","Scene4","14011",6221,4203.1,5989.4
"99","M41","0D","CTX","Scene3","19977",5586.2,1131.7,4420
"100","M41","0D","CNU","Scene3","3747",5586.2,6723.4,6875.6
"101","M41","0D","CTX","Scene5","13379",6701,6745.4,8637
"102","M41","0D","CTX","Scene2","21019",4619,1608,4910.7
"103","M41","0D","fiber tracts","Scene5","20978",6701,3161.3,9244.8
"104","M41","0D","CNU","Scene5","533",6701,3619.2,8882.8
"105","M41","0D","CTX","Scene4","24945",6221,1073.7,5236.9
"106","M41","0D","CTX","Scene3","5699",5586.2,2940.6,9670.4
"107","M41","0D","CNU","Scene3","1838",5586.2,3221.8,7334
"108","M41","0D","CTX","Scene6","24746",7975.8,1572.5,2250
"109","M41","0D","CTX","Scene3","10963",5586.2,6145,9403.3
"110","M41","0D","CTX","Scene6","27326",7975.8,3677.9,2125.7
"111","M41","0D","CTX","Scene3","21705",5586.2,1973.8,5030
"112","M41","0D","CTX","Scene5","10902",6701,4813,10277.1
"113","M41","0D","CTX","Scene4","33496",6221,4908.4,1972.8
"114","M41","0D","CNU","Scene4","962",6221,4353.6,9022.3
"115","M41","0D","CTX","Scene5","30789",6701,1765.2,2429.7
"116","M41","0D","CTX","Scene4","6702",6221,1594.9,6341
"117","M41","0D","IB","Scene4","40420",6221,4942.9,5634.5
"118","M41","0D","CTX","Scene6","1722",7975.8,2035,9801.1
"119","M41","0D","CTX","Scene4","11936",6221,6947.5,8173.6
"120","M41","0D","CTX","Scene6","4580",7975.8,1244.5,6306.9
"121","M41","0D","CTX","Scene3","21940",5586.2,2134.5,5206.2
"122","M41","0D","IB","Scene3","30433",5586.2,6289.1,4284.9
"123","M41","0D","CNU","Scene4","56",6221,2701,8281
"124","M41","0D","IB","Scene5","16783",6701,3902.8,6045.5
"125","M41","0D","CTX","Scene5","3716",6701,1950.7,8575.5
"126","M41","0D","CTX","Scene5","29516",6701,2646.3,5137.7
"127","M41","0D","CTX","Scene5","34854",6701,3938.1,1185
"128","M41","0D","IB","Scene5","40252",6701,3422.2,5339
"129","M41","0D","CTX","Scene1","5492",3870.4,2829.8,3760.2
"130","M41","0D","CTX","Scene4","27398",6221,2460.7,5578
"131","M41","0D","IB","Scene6","35505",7975.8,4468.4,4199.6
"132","M41","0D","CNU","Scene3","1498",5586.2,2875.9,5976.2
"133","M41","0D","MB","Scene6","18091",7975.8,3005.6,6387.8
