"","MouseID","DPI","Region","Section","ObjectID","Z","X","Y"
"1","M43","0D","CNU","Scene3",38,5539.7,4536.6,9106.4
"2","M43","0D","CTX","Scene5",1850,7179,2607.8,3131.5
"3","M43","0D","fiber tracts","Scene5",7507,7179,2807.2,6035
"4","M43","0D","CTX","Scene6",5771,7898.2,6342.4,7963.1
"5","M43","0D","CNU","Scene4",4318,6046,5407.9,4038.7
"6","M43","0D","CNU","Scene3",10,5539.7,3100.6,8572.6
"7","M43","0D","CNU","Scene3",2784,5539.7,4998.1,5060.8
"8","M43","0D","fiber tracts","Scene3",2144,5539.7,2507.9,7345.8
"9","M43","0D","CTX","Scene6",7889,7898.2,2345.2,3009.3
"10","M43","0D","CTX","Scene5",5260,7179,4122.1,9973.8
"11","M43","0D","IB","Scene6",11148,7898.2,3491.5,3620.5
"12","M43","0D","CTX","Scene6",2915,7898.2,2635,8709.4
"13","M43","0D","CNU","Scene1",838,3813.4,5624.9,5699.8
"14","M43","0D","MB","Scene6",11576,7898.2,4022.6,5653
"15","M43","0D","CTX","Scene6",10953,7898.2,6646.1,1970.2
"16","M43","0D","CTX","Scene5",2797,7179,7170,2466.8
"17","M43","0D","fiber tracts","Scene4",564,6046,3604.5,3734.8
"18","M43","0D","fiber tracts","Scene5",7312,7179,3309.7,8416.2
"19","M43","0D","CNU","Scene3",2751,5539.7,4803.2,4814.7
"20","M43","0D","CTX","Scene6",2988,7898.2,2824.4,9173.9
"21","M43","0D","CTX","Scene3",3588,5539.7,4534.6,1146.4
"22","M43","0D","CNU","Scene5",3547,7179,5004.1,8756.4
"23","M43","0D","CTX","Scene5",3798,7179,2250.3,9144.2
"24","M43","0D","CNU","Scene3",692,5539.7,6094.4,8060.2
"25","M43","0D","CTX","Scene6",5422,7898.2,6979.4,8754
"26","M43","0D","fiber tracts","Scene4",1331,6046,3529.3,7545.4
"27","M43","0D","CTX","Scene6",8264,7898.2,2658.2,2895.1
"28","M43","0D","CTX","Scene2",566,4655.9,2452.3,6971.5
"29","M43","0D","CTX","Scene6",4430,7898.2,5706.7,9264.9
"30","M43","0D","CTX","Scene1",940,3813.4,2260.2,5528.7
"31","M43","0D","CTX","Scene4",4893,6046,2475.6,5182.2
"32","M43","0D","IB","Scene3",1399,5539.7,6155.3,6011.6
"33","M43","0D","CTX","Scene6",4506,7898.2,5746.4,9851.1
"34","M43","0D","CNU","Scene4",1753,6046,4327.3,9426.6
"35","M43","0D","fiber tracts","Scene4",405,6046,3382.6,5100.6
"36","M43","0D","CTX","Scene4",5587,6046,7398.8,3346.2
"37","M43","0D","fiber tracts","Scene6",824,7898.2,5122.9,3364.5
"38","M43","0D","CTX","Scene6",4947,7898.2,6257.5,9165.2
"39","M43","0D","CNU","Scene5",260,7179,5935.5,3211.5
"40","M43","0D","CTX","Scene6",2870,7898.2,2550.5,8311.8
"41","M43","0D","CTX","Scene6",8607,7898.2,3281.8,2793
"42","M43","0D","CNU","Scene4",4323,6046,5349.2,3275.1
"43","M43","0D","MB","Scene6",6056,7898.2,3199.1,5753.1
"44","M43","0D","CTX","Scene6",2009,7898.2,742.7,5846.8
"45","M43","0D","CTX","Scene6",6930,7898.2,1855,4078.3
"46","M43","0D","CTX","Scene3",1017,5539.7,2449.1,8110.3
"47","M43","0D","CTX","Scene6",7572,7898.2,643.3,2974.3
"48","M43","0D","MB","Scene6",11864,7898.2,5717.1,4407.2
"49","M43","0D","fiber tracts","Scene5",6729,7179,2344.9,2563
"50","M43","0D","MB","Scene6",11529,7898.2,3764.7,5293.2
"51","M43","0D","CTX","Scene5",5409,7179,2647.3,6457
"52","M43","0D","CTX","Scene6",3190,7898.2,3233.6,9246.2
"53","M43","0D","CTX","Scene6",6742,7898.2,1616.2,3808.3
"54","M43","0D","CTX","Scene6",7506,7898.2,2401,3762.1
"55","M43","0D","CTX","Scene6",5072,7898.2,6429.1,8926.7
"56","M43","0D","CTX","Scene5",650,7179,1771.6,3404.3
"57","M43","0D","CNU","Scene3",2537,5539.7,3177.4,5292.5
"58","M43","0D","CTX","Scene6",3742,7898.2,4643.3,8644
"59","M43","0D","CNU","Scene3",541,5539.7,4644.1,6658
"60","M43","0D","CNU","Scene5",3703,7179,6552.8,7420.5
"61","M43","0D","fiber tracts","Scene4",44,6046,1891.1,4726
"62","M43","0D","CTX","Scene6",5478,7898.2,5239.2,8266.9
"63","M43","0D","CTX","Scene6",10068,7898.2,5479.4,1301.6
"64","M43","0D","CNU","Scene4",4118,6046,4729.2,3474.2
"65","M43","0D","fiber tracts","Scene4",543,6046,2533.4,3344.9
"66","M43","0D","CNU","Scene4",1910,6046,5219.7,7415
"67","M43","0D","CTX","Scene6",10720,7898.2,6370.9,2730.1
"68","M43","0D","CNU","Scene5",3711,7179,6600.8,7434.1
"69","M43","0D","CNU","Scene2",1119,4655.9,3604.9,3538.7
"70","M43","0D","IB","Scene4",5963,6046,5863.7,4165.4
"71","M43","0D","CTX","Scene2",1459,4655.9,932.4,5237.8
"72","M43","0D","fiber tracts","Scene5",7451,7179,1895.3,5805.6
"73","M43","0D","fiber tracts","Scene6",135,7898.2,1431.2,3741
"74","M43","0D","CTX","Scene5",4020,7179,1565.9,7617.3
"75","M43","0D","CTX","Scene5",5073,7179,2503.7,6696.8
"76","M43","0D","CNU","Scene4",1706,6046,4032.1,7939.5
"77","M43","0D","CTX","Scene4",5502,6046,6456.1,2130.5
"78","M43","0D","CTX","Scene6",8807,7898.2,3692.5,2221.2
"79","M43","0D","CTX","Scene5",2105,7179,4792.6,1201.8
"80","M43","0D","CNU","Scene4",1596,6046,3179.8,7575
"81","M43","0D","CNU","Scene4",3884,6046,3797.7,2213.8
"82","M43","0D","CNU","Scene3",142,5539.7,2809.8,5986.3
"83","M43","0D","CNU","Scene4",1604,6046,3255,8100
"84","M43","0D","IB","Scene3",3863,5539.7,6911.9,4997.3
"85","M43","0D","CTX","Scene6",8971,7898.2,4028.8,2373.2
"86","M43","0D","fiber tracts","Scene3",2059,5539.7,2235.5,6894.1
"87","M43","0D","CNU","Scene4",4316,6046,5344.1,3578.6
"88","M43","0D","CTX","Scene5",5438,7179,2707.6,8325.1
"89","M43","0D","fiber tracts","Scene2",854,4655.9,3201.9,5321.9
"90","M43","0D","CTX","Scene6",10090,7898.2,5535.9,1830.6
"91","M43","0D","CTX","Scene6",6672,7898.2,1468.5,4153.8
"92","M43","0D","CNU","Scene5",3479,7179,3798.8,9194.5
"93","M43","0D","CTX","Scene5",1842,7179,2560.3,3103.8
"94","M43","0D","CTX","Scene5",2512,7179,6355.8,3131
"95","M43","0D","CTX","Scene6",1635,7898.2,1846,8451
"96","M43","0D","fiber tracts","Scene3",1634,5539.7,2305.1,4276.5
"97","M43","0D","CTX","Scene6",8822,7898.2,3717,1457.4
"98","M43","0D","CTX","Scene6",10596,7898.2,6229.1,2664
"99","M43","0D","IB","Scene5",3372,7179,7197.1,5581.2
"100","M43","0D","IB","Scene4",3012,6046,3476.4,6786.1
"101","M43","0D","CTX","Scene5",2541,7179,6316.6,1370.4
"102","M43","0D","CTX","Scene3",1003,5539.7,2356.4,5956.1
"103","M43","0D","CTX","Scene5",526,7179,1606.5,3724.4
"104","M43","0D","CTX","Scene3",1111,5539.7,4342,10380.4
"105","M43","0D","CTX","Scene5",5557,7179,5090.3,10452.9
"106","M43","0D","CTX","Scene6",4153,7898.2,5271.2,9689.7
"107","M43","0D","CTX","Scene5",762,7179,1845,4543.5
"108","M43","0D","CTX","Scene6",3161,7898.2,3126.9,10816.5
"109","M43","0D","fiber tracts","Scene4",833,6046,2500.5,8377.7
"110","M43","0D","IB","Scene5",6251,7179,5566.3,5971.5
"111","M43","0D","CTX","Scene5",2733,7179,6921.5,2046.7
"112","M43","0D","CTX","Scene5",2521,7179,6272.6,1367.8
"113","M43","0D","CNU","Scene3",629,5539.7,5576.1,8130.2
"114","M43","0D","CTX","Scene5",5388,7179,2643.9,8252.8
"115","M43","0D","CTX","Scene6",9129,7898.2,4318,2257.5
"116","M43","0D","IB","Scene5",6018,7179,2831.4,6100.4
"117","M43","0D","fiber tracts","Scene6",1070,7898.2,1316.8,7675.7
"118","M43","0D","fiber tracts","Scene4",523,6046,2443.9,3294.6
